국가별,시점,경상수지
아시아,1995,
아시아,1996,
아시아,1997,
아시아,1998,
아시아,1999,
아시아,2000,
아시아,2001,
아시아,2002,
아시아,2003,
아시아,2004,
아시아,2005,
아시아,2006,
아시아,2007,
아시아,2008,
아시아,2009,
아시아,2010,
아시아,2011,
아시아,2012,
아시아,2013,
아시아,2014,
아시아,2015,
아시아,2016,
아시아,2017,
아시아,2018,
아시아,2019,
아시아,2020,
한국,1995,-10230
한국,1996,-24461
한국,1997,-10812
한국,1998,40113
한국,1999,21785
한국,2000,10181
한국,2001,2165
한국,2002,4066
한국,2003,11308
한국,2004,29290
한국,2005,12209
한국,2006,2095
한국,2007,10473
한국,2008,1753
한국,2009,33088
한국,2010,27951
한국,2011,16638
한국,2012,48791
한국,2013,77259
한국,2014,83030
한국,2015,105119
한국,2016,97924
한국,2017,75231
한국,2018,77467
한국,2019,59676
한국,2020,75276
이스라엘,1995,-4790
이스라엘,1996,-5172
이스라엘,1997,-3274
이스라엘,1998,-988
이스라엘,1999,-1901
이스라엘,2000,-2056
이스라엘,2001,-2032
이스라엘,2002,-1291
이스라엘,2003,635
이스라엘,2004,2353
이스라엘,2005,4540
이스라엘,2006,6916
이스라엘,2007,5449
이스라엘,2008,2553
이스라엘,2009,7370
이스라엘,2010,8154
이스라엘,2011,4369
이스라엘,2012,1231
이스라엘,2013,8471
이스라엘,2014,13091
이스라엘,2015,16205
이스라엘,2016,11641
이스라엘,2017,10114
이스라엘,2018,9677
이스라엘,2019,12487
이스라엘,2020,24350
일본,1996,68994
일본,1997,95456
일본,1998,114685
일본,1999,114126
일본,2000,130690
일본,2001,86220
일본,2002,108861
일본,2003,139381
일본,2004,181994
일본,2005,170123
일본,2006,174673
일본,2007,211736
일본,2008,142116
일본,2009,145678
일본,2010,220888
일본,2011,129597
일본,2012,60117
일본,2013,46379
일본,2014,36351
일본,2015,136472
일본,2016,197049
일본,2017,203169
일본,2018,177269
일본,2019,176811
일본,2020,164497
터키,1995,-2338
터키,1996,-2437
터키,1997,-2638
터키,1998,2000
터키,1999,-925
터키,2000,-9920
터키,2001,3760
터키,2002,-626
터키,2003,-7554
터키,2004,-14198
터키,2005,-20980
터키,2006,-31161
터키,2007,-36946
터키,2008,-39425
터키,2009,-11360
터키,2010,-44620
터키,2011,-74402
터키,2012,-47960
터키,2013,-55858
터키,2014,-38848
터키,2015,-27314
터키,2016,-27039
터키,2017,-40813
터키,2018,-21743
터키,2019,6759
터키,2020,-37315
북아메리카,1995,
북아메리카,1996,
북아메리카,1997,
북아메리카,1998,
북아메리카,1999,
북아메리카,2000,
북아메리카,2001,
북아메리카,2002,
북아메리카,2003,
북아메리카,2004,
북아메리카,2005,
북아메리카,2006,
북아메리카,2007,
북아메리카,2008,
북아메리카,2009,
북아메리카,2010,
북아메리카,2011,
북아메리카,2012,
북아메리카,2013,
북아메리카,2014,
북아메리카,2015,
북아메리카,2016,
북아메리카,2017,
북아메리카,2018,
북아메리카,2019,
북아메리카,2020,
캐나다,1995,-5061
캐나다,1996,2428
캐나다,1997,-8985
캐나다,1998,-9000
캐나다,1999,845
캐나다,2000,18494
캐나다,2001,15758
캐나다,2002,12513
캐나다,2003,10433
캐나다,2004,23236
캐나다,2005,21933
캐나다,2006,17990
캐나다,2007,11051
캐나다,2008,3178
캐나다,2009,-40775
캐나다,2010,-58163
캐나다,2011,-49747
캐나다,2012,-64582
캐나다,2013,-58110
캐나다,2014,-41874
캐나다,2015,-54696
캐나다,2016,-47263
캐나다,2017,-46236
캐나다,2018,-40436
캐나다,2019,-35688
캐나다,2020,-29723
멕시코,1995,-1576
멕시코,1996,-2537
멕시코,1997,-7695
멕시코,1998,-16017
멕시코,1999,-14027
멕시코,2000,-18776
멕시코,2001,-17776
멕시코,2002,-14893
멕시코,2003,-8361
멕시코,2004,-7032
멕시코,2005,-9068
멕시코,2006,-3551
멕시코,2007,-9897
멕시코,2008,-16809
멕시코,2009,-7757
멕시코,2010,-4830
멕시코,2011,-11889
멕시코,2012,-18637
멕시코,2013,-31517
멕시코,2014,-25428
멕시코,2015,-31075
멕시코,2016,-24361
멕시코,2017,-20423
멕시코,2018,-25109
멕시코,2019,-3777
멕시코,2020,25953
미국,1995,-113561
미국,1996,-124727
미국,1997,-140725
미국,1998,-215037
미국,1999,-286622
미국,2000,-401928
미국,2001,-394079
미국,2002,-456109
미국,2003,-522297
미국,2004,-635887
미국,2005,-749230
미국,2006,-816642
미국,2007,-736554
미국,2008,-696526
미국,2009,-379736
미국,2010,-432002
미국,2011,-455297
미국,2012,-418112
미국,2013,-339455
미국,2014,-369978
미국,2015,-408884
미국,2016,-397573
미국,2017,-361702
미국,2018,-438241
미국,2019,-472145
미국,2020,-616087
남아메리카,1995,
남아메리카,1996,
남아메리카,1997,
남아메리카,1998,
남아메리카,1999,
남아메리카,2000,
남아메리카,2001,
남아메리카,2002,
남아메리카,2003,
남아메리카,2004,
남아메리카,2005,
남아메리카,2006,
남아메리카,2007,
남아메리카,2008,
남아메리카,2009,
남아메리카,2010,
남아메리카,2011,
남아메리카,2012,
남아메리카,2013,
남아메리카,2014,
남아메리카,2015,
남아메리카,2016,
남아메리카,2017,
남아메리카,2018,
남아메리카,2019,
남아메리카,2020,
칠레,1995,-1350
칠레,1996,-3083
칠레,1997,-3660
칠레,1998,-3918
칠레,1999,99
칠레,2000,-898
칠레,2001,-1100
칠레,2002,-580
칠레,2003,-222
칠레,2004,2821
칠레,2005,1825
칠레,2006,7004
칠레,2007,7423
칠레,2008,-6699
칠레,2009,3220
칠레,2010,3069
칠레,2011,-6833
칠레,2012,-11838
칠레,2013,-13261
칠레,2014,-5225
칠레,2015,-5735
칠레,2016,-4974
칠레,2017,-6445
칠레,2018,-11640
칠레,2019,-10454
칠레,2020,3370
콜롬비아,1995,-4516
콜롬비아,1996,-4641
콜롬비아,1997,-5751
콜롬비아,1998,-4858
콜롬비아,1999,671
콜롬비아,2000,845
콜롬비아,2001,-1040
콜롬비아,2002,-1289
콜롬비아,2003,-957
콜롬비아,2004,-823
콜롬비아,2005,-1873
콜롬비아,2006,-2927
콜롬비아,2007,-6073
콜롬비아,2008,-6400
콜롬비아,2009,-4622
콜롬비아,2010,-8822
콜롬비아,2011,-9911
콜롬비아,2012,-11641
콜롬비아,2013,-12587
콜롬비아,2014,-20233
콜롬비아,2015,-19302
콜롬비아,2016,-12782
콜롬비아,2017,-10744
콜롬비아,2018,-13669
콜롬비아,2019,-14508
콜롬비아,2020,-9326
코스타리카,1995,-358
코스타리카,1996,-264
코스타리카,1997,-481
코스타리카,1998,-521
코스타리카,1999,-666
코스타리카,2000,-685
코스타리카,2001,-514
코스타리카,2002,-860
코스타리카,2003,-900
코스타리카,2004,-675
코스타리카,2005,-860
코스타리카,2006,-939
코스타리카,2007,-1499
코스타리카,2008,-2581
코스타리카,2009,-561
코스타리카,2010,-1214
코스타리카,2011,-2265
코스타리카,2012,-2411
코스타리카,2013,-2431
코스타리카,2014,-2453
코스타리카,2015,-1921
코스타리카,2016,-1257
코스타리카,2017,-2140
코스타리카,2018,-1890
코스타리카,2019,-1289
유럽,1995,
유럽,1996,
유럽,1997,
유럽,1998,
유럽,1999,
유럽,2000,
유럽,2001,
유럽,2002,
유럽,2003,
유럽,2004,
유럽,2005,
유럽,2006,
유럽,2007,
유럽,2008,
유럽,2009,
유럽,2010,
유럽,2011,
유럽,2012,
유럽,2013,
유럽,2014,
유럽,2015,
유럽,2016,
유럽,2017,
유럽,2018,
유럽,2019,
유럽,2020,
오스트리아,2005,6233
오스트리아,2006,10993
오스트리아,2007,14749
오스트리아,2008,19298
오스트리아,2009,10305
오스트리아,2010,11474
오스트리아,2011,6800
오스트리아,2012,6141
오스트리아,2013,8377
오스트리아,2014,10589
오스트리아,2015,6634
오스트리아,2016,10770
오스트리아,2017,5650
오스트리아,2018,5989
오스트리아,2019,12664
오스트리아,2020,10783
벨기에,2002,11622
벨기에,2003,10806
벨기에,2004,11434
벨기에,2005,7701
벨기에,2006,7554
벨기에,2007,7044
벨기에,2008,-4297
벨기에,2009,8775
벨기에,2010,7339
벨기에,2011,-10168
벨기에,2012,-415
벨기에,2013,5079
벨기에,2014,4044
벨기에,2015,6363
벨기에,2016,2645
벨기에,2017,3520
벨기에,2018,-4136
벨기에,2019,1842
벨기에,2020,-932
체코,1995,-1374
체코,1996,-4128
체코,1997,-3622
체코,1998,-1308
체코,1999,-1466
체코,2000,-2690
체코,2001,-3273
체코,2002,-4265
체코,2003,-5785
체코,2004,-4457
체코,2005,-2810
체코,2006,-3996
체코,2007,-8946
체코,2008,-4408
체코,2009,-4870
체코,2010,-7351
체코,2011,-5020
체코,2012,-3158
체코,2013,-1106
체코,2014,458
체코,2015,845
체코,2016,3462
체코,2017,2961
체코,2018,1260
체코,2019,898
체코,2020,8845
덴마크,1995,1855
덴마크,1996,3090
덴마크,1997,921
덴마크,1998,-2008
덴마크,1999,3047
덴마크,2000,2262
덴마크,2001,4848
덴마크,2002,3460
덴마크,2003,6963
덴마크,2004,5941
덴마크,2005,11007
덴마크,2006,9462
덴마크,2007,4841
덴마크,2008,10413
덴마크,2009,11323
덴마크,2010,21051
덴마크,2011,22682
덴마크,2012,20461
덴마크,2013,26686
덴마크,2014,31353
덴마크,2015,24953
덴마크,2016,24313
덴마크,2017,26734
덴마크,2018,25762
덴마크,2019,30349
덴마크,2020,29319
에스토니아,1995,-158
에스토니아,1996,-398
에스토니아,1997,-562
에스토니아,1998,-478
에스토니아,1999,-295
에스토니아,2000,-299
에스토니아,2001,-325
에스토니아,2002,-779
에스토니아,2003,-1276
에스토니아,2004,-1456
에스토니아,2005,-1218
에스토니아,2006,-2549
에스토니아,2007,-3323
에스토니아,2008,-2156
에스토니아,2009,526
에스토니아,2010,340
에스토니아,2011,304
에스토니아,2012,-432
에스토니아,2013,75
에스토니아,2014,173
에스토니아,2015,403
에스토니아,2016,301
에스토니아,2017,622
에스토니아,2018,280
에스토니아,2019,616
에스토니아,2020,-244
핀란드,1995,5231
핀란드,1996,5003
핀란드,1997,6633
핀란드,1998,7340
핀란드,1999,8045
핀란드,2000,10527
핀란드,2001,12082
핀란드,2002,12092
핀란드,2003,8539
핀란드,2004,12557
핀란드,2005,7783
핀란드,2006,7996
핀란드,2007,9579
핀란드,2008,5712
핀란드,2009,4406
핀란드,2010,2792
핀란드,2011,-4798
핀란드,2012,-5899
핀란드,2013,-4856
핀란드,2014,-3791
핀란드,2015,-2205
핀란드,2016,-4844
핀란드,2017,-1951
핀란드,2018,-5160
핀란드,2019,-877
핀란드,2020,2342
프랑스,1995,10840
프랑스,1996,20561
프랑스,1997,37801
프랑스,1998,37699
프랑스,1999,50692
프랑스,2000,16125
프랑스,2001,20965
프랑스,2002,17651
프랑스,2003,15985
프랑스,2004,9166
프랑스,2005,-143
프랑스,2006,514
프랑스,2007,-8719
프랑스,2008,-28163
프랑스,2009,-22100
프랑스,2010,-22031
프랑스,2011,-29509
프랑스,2012,-32876
프랑스,2013,-24383
프랑스,2014,-37351
프랑스,2015,-9132
프랑스,2016,-12205
프랑스,2017,-17978
프랑스,2018,-24384
프랑스,2019,-8213
프랑스,2020,-49060
독일,1995,-32190
독일,1996,-17018
독일,1997,-11520
독일,1998,-15638
독일,1999,-31386
독일,2000,-33905
독일,2001,-7100
독일,2002,39719
독일,2003,35983
독일,2004,127507
독일,2005,133087
독일,2006,173485
독일,2007,235779
독일,2008,213250
독일,2009,201136
독일,2010,196168
독일,2011,231972
독일,2012,251546
독일,2013,245383
독일,2014,278661
독일,2015,288620
독일,2016,295079
독일,2017,288536
독일,2018,312697
독일,2019,289605
독일,2020,266327
그리스,1995,-2864
그리스,1996,-4554
그리스,1997,-4860
그리스,1999,-7294
그리스,2000,-9817
그리스,2001,-9403
그리스,2002,-9596
그리스,2003,-12813
그리스,2004,-13493
그리스,2005,-18219
그리스,2006,-29576
그리스,2007,-44579
그리스,2008,-51297
그리스,2009,-35946
그리스,2010,-30263
그리스,2011,-28599
그리스,2012,-6172
그리스,2013,-4949
그리스,2014,-3735
그리스,2015,-1611
그리스,2016,-3261
그리스,2017,-3606
그리스,2018,-6249
그리스,2019,-3112
그리스,2020,-12618
헝가리,1995,-1712
헝가리,1996,-1854
헝가리,1997,-2140
헝가리,1998,-3722
헝가리,1999,-4109
헝가리,2000,-4174
헝가리,2001,-3290
헝가리,2002,-4361
헝가리,2003,-7040
헝가리,2004,-9446
헝가리,2005,-11182
헝가리,2006,-8422
헝가리,2007,-10210
헝가리,2008,-11125
헝가리,2009,-892
헝가리,2010,342
헝가리,2011,887
헝가리,2012,1990
헝가리,2013,4666
헝가리,2014,1605
헝가리,2015,2926
헝가리,2016,5855
헝가리,2017,2769
헝가리,2018,636
헝가리,2019,-620
헝가리,2020,20
아이슬란드,1995,13
아이슬란드,1996,-182
아이슬란드,1997,-178
아이슬란드,1998,-610
아이슬란드,1999,-637
아이슬란드,2000,-913
아이슬란드,2001,-379
아이슬란드,2002,120
아이슬란드,2003,-566
아이슬란드,2004,-1402
아이슬란드,2005,-2649
아이슬란드,2006,-3971
아이슬란드,2007,-2916
아이슬란드,2008,-4146
아이슬란드,2009,-1185
아이슬란드,2010,-845
아이슬란드,2011,-716
아이슬란드,2012,-518
아이슬란드,2013,1010
아이슬란드,2014,776
아이슬란드,2015,986
아이슬란드,2016,1717
아이슬란드,2017,1055
아이슬란드,2018,986
아이슬란드,2019,1579
아이슬란드,2020,244
아일랜드,2005,-7145
아일랜드,2006,-7862
아일랜드,2007,-13849
아일랜드,2008,-15303
아일랜드,2009,-5007
아일랜드,2010,2320
아일랜드,2011,2829
아일랜드,2012,-7709
아일랜드,2013,3712
아일랜드,2014,2786
아일랜드,2015,12912
아일랜드,2016,-12521
아일랜드,2017,3398
아일랜드,2018,24170
아일랜드,2019,-44934
이탈리아,1995,25096
이탈리아,1996,39974
이탈리아,1997,32277
이탈리아,1998,20107
이탈리아,1999,9984
