국가별,시점,디플레이터
아시아,2000,
아시아,2001,
아시아,2002,
아시아,2003,
아시아,2004,
아시아,2005,
아시아,2006,
아시아,2007,
아시아,2008,
아시아,2009,
아시아,2010,
아시아,2011,
아시아,2012,
아시아,2013,
아시아,2014,
아시아,2015,
아시아,2016,
아시아,2017,
아시아,2018,
아시아,2019,
아시아,2020,
한국,2000,72.1
한국,2001,74.6
한국,2002,76.9
한국,2003,79.5
한국,2004,82
한국,2005,82.9
한국,2006,82.7
한국,2007,84.7
한국,2008,87.1
한국,2009,90.2
한국,2010,92.7
한국,2011,93.9
한국,2012,95.1
한국,2013,96
한국,2014,96.9
한국,2015,100
한국,2016,102
한국,2017,104.3
한국,2018,104.8
한국,2019,103.9
한국,2020,105.2
이스라엘,2000,83.4
이스라엘,2001,85.1
이스라엘,2002,89
이스라엘,2003,88.7
이스라엘,2004,88.8
이스라엘,2005,89.9
이스라엘,2006,91.3
이스라엘,2007,92.2
이스라엘,2008,94.2
이스라엘,2009,98.2
이스라엘,2010,100
이스라엘,2011,101.8
이스라엘,2012,106.2
이스라엘,2013,108.6
이스라엘,2014,109.4
이스라엘,2015,112.7
이스라엘,2016,113.8
이스라엘,2017,114
이스라엘,2018,115.3
이스라엘,2019,118
이스라엘,2020,119.3
일본,2000,112.1
일본,2001,110.9
일본,2002,109.3
일본,2003,107.6
일본,2004,106.4
일본,2005,105.1
일본,2006,104.2
일본,2007,103.4
일본,2008,102.5
일본,2009,101.9
일본,2010,100
일본,2011,98.4
일본,2012,97.6
일본,2013,97.3
일본,2014,98.9
일본,2015,101
일본,2016,101.4
일본,2017,101.4
일본,2018,101.4
일본,2019,102
일본,2020,103
터키,2000,21.8
터키,2001,33.3
터키,2002,45.9
터키,2003,56.6
터키,2004,63.6
터키,2005,68.1
터키,2006,74.5
터키,2007,79.1
터키,2008,88.6
터키,2009,93.4
터키,2010,100
터키,2011,108.2
터키,2012,116.2
터키,2013,123.5
터키,2014,132.7
터키,2015,143.1
터키,2016,154.7
터키,2017,171.7
터키,2018,200
터키,2019,227.8
터키,2020,261.6
북아메리카,2000,
북아메리카,2001,
북아메리카,2002,
북아메리카,2003,
북아메리카,2004,
북아메리카,2005,
북아메리카,2006,
북아메리카,2007,
북아메리카,2008,
북아메리카,2009,
북아메리카,2010,
북아메리카,2011,
북아메리카,2012,
북아메리카,2013,
북아메리카,2014,
북아메리카,2015,
북아메리카,2016,
북아메리카,2017,
북아메리카,2018,
북아메리카,2019,
북아메리카,2020,
캐나다,2000,79.8
캐나다,2001,81.2
캐나다,2002,82.2
캐나다,2003,84.8
캐나다,2004,87.6
캐나다,2005,90.4
캐나다,2006,92.7
캐나다,2007,95.7
캐나다,2008,99.5
캐나다,2009,97.2
캐나다,2010,100
캐나다,2011,103.2
캐나다,2012,104.5
캐나다,2013,106.3
캐나다,2014,108.4
캐나다,2015,107.4
캐나다,2016,108.2
캐나다,2017,111
캐나다,2018,113
캐나다,2019,114.8
캐나다,2020,115.7
멕시코,2000,57.9
멕시코,2001,61.4
멕시코,2002,64.8
멕시코,2003,67.4
멕시코,2004,72.7
멕시코,2005,77
멕시코,2006,81.9
멕시코,2007,86.7
멕시코,2008,92
멕시코,2009,95.7
멕시코,2010,100
멕시코,2011,105.8
멕시코,2012,110.1
멕시코,2013,111.8
멕시코,2014,116.8
멕시코,2015,120.1
멕시코,2016,126.8
멕시코,2017,135.4
멕시코,2018,142
멕시코,2019,147.9
멕시코,2020,152.2
미국,2008,98.1
미국,2009,98.8
미국,2010,100
미국,2011,102.1
미국,2012,104
미국,2013,105.9
미국,2014,107.8
미국,2015,108.9
미국,2016,110
미국,2017,112.1
미국,2018,114.8
미국,2019,116.8
미국,2020,118.2
남아메리카,2000,
남아메리카,2001,
남아메리카,2002,
남아메리카,2003,
남아메리카,2004,
남아메리카,2005,
남아메리카,2006,
남아메리카,2007,
남아메리카,2008,
남아메리카,2009,
남아메리카,2010,
남아메리카,2011,
남아메리카,2012,
남아메리카,2013,
남아메리카,2014,
남아메리카,2015,
남아메리카,2016,
남아메리카,2017,
남아메리카,2018,
남아메리카,2019,
남아메리카,2020,
칠레,2000,57
칠레,2001,59.2
칠레,2002,61.2
칠레,2003,64
칠레,2004,69
칠레,2005,74.3
칠레,2006,83.3
칠레,2007,87.7
칠레,2008,87.7
칠레,2009,91.8
칠레,2010,100
칠레,2011,103.1
칠레,2012,104.3
칠레,2013,106.3
칠레,2014,112.6
칠레,2015,118.2
칠레,2016,123.5
칠레,2017,129.4
칠레,2018,132.4
칠레,2019,135
칠레,2020,146.3
콜롬비아,2005,77.2
콜롬비아,2006,81.6
콜롬비아,2007,85.8
콜롬비아,2008,92.5
콜롬비아,2009,96.4
콜롬비아,2010,100
콜롬비아,2011,106
콜롬비아,2012,109.9
콜롬비아,2013,112.6
콜롬비아,2014,115
콜롬비아,2015,117.8
콜롬비아,2016,123.8
콜롬비아,2017,130.2
콜롬비아,2018,135
