국가별,시점,신용등급,신용등급_1
오스트레일리아,2000,18.0,AA
오스트레일리아,2005,19.5,AA+
오스트레일리아,2010,19.5,AA+
오스트레일리아,2015,20.0,AAA
오스트레일리아,2020,20.0,AAA
오스트리아,2000,20.0,AAA
오스트리아,2005,20.0,AAA
오스트리아,2010,20.0,AAA
오스트리아,2015,19.5,AA+
오스트리아,2020,19.0,AA+
벨기에,2000,17.0,AA-
벨기에,2005,18.0,AA
벨기에,2010,19.0,AA+
벨기에,2015,18.0,AA
벨기에,2020,18.0,AA
캐나다,2000,18.3,AA
캐나다,2005,20.0,AAA
캐나다,2010,20.0,AAA
캐나다,2015,20.0,AAA
캐나다,2020,19.0,AA+
칠레,2000,14.0,A-
칠레,2005,15.0,A
칠레,2010,16.5,A+
칠레,2015,17.0,AA-
칠레,2020,15.7,A
콜롬비아,2000,9.8,BB
콜롬비아,2005,9.0,BB
콜롬비아,2010,10.0,BB+
콜롬비아,2015,12.0,BBB
콜롬비아,2020,11.5,BBB-
코스타리카,2000,9.0,BB
코스타리카,2005,9.0,BB
코스타리카,2010,11.0,BBB-
코스타리카,2015,10.0,BB+
코스타리카,2020,6.0,B
체코,2000,13.0,BBB+
체코,2005,14.5,A-
체코,2010,15.5,A
체코,2015,16.0,A+
체코,2020,17.0,AA-
덴마크,2000,19.0,AA+
덴마크,2005,20.0,AAA
덴마크,2010,20.0,AAA
덴마크,2015,20.0,AAA
덴마크,2020,20.0,AAA
에스토니아,2000,13.0,BBB+
에스토니아,2005,15.0,A
에스토니아,2010,14.2,A-
에스토니아,2015,17.0,AA-
에스토니아,2020,17.0,AA-
핀란드,2000,19.5,AA+
핀란드,2005,20.0,AAA
핀란드,2010,20.0,AAA
핀란드,2015,19.75,AA+
핀란드,2020,19.0,AA+
프랑스,2000,20.0,AAA
프랑스,2005,20.0,AAA
프랑스,2010,20.0,AAA
프랑스,2015,18.0,AA
프랑스,2020,18.75,AA
독일,2000,20.0,AAA
독일,2005,20.0,AAA
독일,2010,20.0,AAA
독일,2015,20.0,AAA
독일,2020,20.0,AAA
그리스,2000,15.0,A
그리스,2005,15.33333333,A
그리스,2010,11.44444444,BBB-
그리스,2015,3.9,CCC
그리스,2020,8.4,BB-
헝가리,2000,13.42857143,BBB+
헝가리,2005,11.75,BBB-
헝가리,2010,11.5,BBB-
헝가리,2015,10.0,BB+
헝가리,2020,11.66666667,BBB-
아이슬란드,2000,17.0,AA-
아이슬란드,2005,17.0,AA-
아이슬란드,2010,12.66666667,BBB
아이슬란드,2015,12.25,BBB
아이슬란드,2020,15.0,A
아일랜드,2000,19.5,AA+
아일랜드,2005,20.0,AAA
아일랜드,2010,16.4,A+
아일랜드,2015,14.6,A-
아일랜드,2020,16.0,A+
이스라엘,2000,14.2,A-
이스라엘,2005,14.0,A-
이스라엘,2010,15.3,A
