국가별,시점,인당_국민총소득,GDP_성장률,디플레이터,수출,수입,무역의존도_수출,무역의존도_수입,외환보유액,부채비율,국민부담률,평균근로자세금,경제활동참가율 (%),고용률,실업률
한국,2000,12179,9.1,72.1,172268,160481,29.89,27.84,96198,,20.9,16.4,61.2,61.5,4.4
한국,2001,11484,4.9,74.6,150439,141098,27.47,25.76,102821,,21.2,16.5,61.5,62.2,4
한국,2002,13115,7.7,76.9,162471,152126,25.91,24.26,121413,,21.3,16.1,62.1,63.4,3.3
한국,2003,14618,3.1,79.5,193817,178827,27.59,25.45,155352,,22,16.4,61.6,63,3.6
한국,2004,16477,5.2,82,253845,224463,31.99,28.28,199066,,21.2,17,62.3,63.8,3.7
한국,2005,19262,4.3,82.9,284419,261238,30.43,27.95,210391,,21.7,17.3,62.2,63.7,3.7
한국,2006,21664,5.3,82.7,325465,309383,30.93,29.4,238956,,22.6,18.2,62.2,64,3.5
한국,2007,24027,5.8,84.7,371489,356846,31.68,30.43,262224,,23.7,19.7,62.2,64.1,3.2
한국,2008,21345,3,87.1,422007,435275,40.31,41.58,201223,,23.6,20,61.7,64,3.2
한국,2009,19122,0.8,90.2,363534,323085,38.5,34.21,269995,,22.7,19.5,61,63,3.6
한국,2010,23118,6.8,92.7,466384,425212,40.77,37.17,291571,,22.4,20.1,61.1,63.4,3.7
한국,2011,25256,3.7,93.9,555214,524413,44.3,41.84,306402,33.1,23.2,20,61.3,63.9,3.4
한국,2012,25724,2.4,95.1,547870,519584,42.87,40.66,326968,35,23.7,20.5,61.6,64.3,3.2
한국,2013,27351,3.2,96,559632,515586,40.83,37.62,346460,37.7,23.1,21,61.7,64.6,3.1
한국,2014,29384,3.2,96.9,572665,525515,38.59,35.41,363593,39.7,23.4,21.2,62.7,65.6,3.5
한국,2015,28814,2.8,100,526757,436499,35.95,29.79,367962,40.8,23.7,21.4,62.8,65.9,3.6
한국,2016,29394,2.9,102,495426,406193,33.03,27.08,371102,41.2,24.7,21.8,62.9,66.1,3.7
한국,2017,31734,3.2,104.3,573694,478478,35.34,29.48,389267,40.1,25.4,22,63.2,66.6,3.7
한국,2018,33564,2.9,104.8,604860,535202,35.06,31.02,403694,40,26.8,22.4,63.1,66.6,3.8
한국,2019,32204,2.2,103.9,542233,503343,32.84,30.49,408816,42.2,27.4,22.9,63.3,66.8,3.8
한국,2020,31881,-0.9,105.2,512498,467633,31.28,28.55,443098,,,23.3,62.5,65.9,4
이스라엘,2000,20930,7.5,83.4,28335,35214,21.35,26.54,23281,,34.8,29.6,61.4,56.1,11.1
이스라엘,2001,20727,0.1,85.1,25719,32697,19.62,24.95,23379,90.941,34.7,30.7,61.3,55.6,11.8
이스라엘,2002,18964,0,89,25632,32548,21.11,26.81,24083,94.569,33.9,30.8,60.6,54.8,12.9
이스라엘,2003,19550,1.1,88.7,27875,33657,21.89,26.43,26315,99.681,33.2,27.7,60.9,55,13.5
이스라엘,2004,20601,4.2,88.8,33804,40347,24.91,29.73,27094,97.684,33.3,26.4,61.4,55.7,13
이스라엘,2005,21659,3.8,89.9,36608,44453,25.66,31.16,28059,95.195,33.7,25.5,61.8,56.7,11.3
이스라엘,2006,22983,5.6,91.3,39714,47333,25.76,30.7,29153,84.956,34.2,24.3,62.2,57.6,10.7
이스라엘,2007,26117,5.7,92.2,45924,56115,25.65,31.34,28519,79.752,34.2,24.9,62.8,58.9,9.4
이스라엘,2008,30214,3,94.2,51276,64474,23.7,29.8,42513,80.229,31.9,22.9,62.8,59.8,7.7
이스라엘,2009,28171,0.9,98.2,42007,46863,20.24,22.58,60611,83.54,29.8,21.3,62.9,59.2,9.5
이스라엘,2010,31261,5.6,100,50766,58575,21.69,25.03,70907,79.539,30.7,20.7,63.3,60.2,8.5
이스라엘,2011,34391,4.6,101.8,58065,72663,22.25,27.84,74874,77.743,31,20.8,63,60.9,7.1
이스라엘,2012,32902,2.4,106.2,53892,72168,20.96,28.06,75908,78.815,30.1,20.4,63.6,66.5,6.9
이스라엘,2013,37072,4.2,108.6,56844,71071,19.42,24.28,81786,76.501,30.8,20.4,63.7,67.1,6.2
이스라엘,2014,39236,3.9,109.4,57657,71464,18.6,23.05,86101,77.106,31,21.1,64.2,67.9,5.9
이스라엘,2015,37294,2.2,112.7,53536,61340,17.84,20.44,90575,76.615,31.2,21.8,64.1,68.3,5.3
이스라엘,2016,38936,3.8,113.8,52175,65048,16.38,20.42,95446,75.776,31.2,22.3,64.1,68.6,4.8
이스라엘,2017,42562,3.6,114,53063,68006,15.05,19.28,113010,72.773,32.5,22.1,64,69,4.2
이스라엘,2018,44167,3.5,115.3,54211,75741,14.63,20.45,115266,71.496,30.9,22.7,63.9,69,4
이스라엘,2019,46105,3.5,118,51899,75697,13.15,19.18,126008,73.767,30.5,22.9,63.5,68.9,3.8
일본,2000,38874,2.8,112.1,479296,379727,9.81,7.77,361639,140.804,25.8,29.8,62.4,69,4.8
일본,2001,34210,0.4,110.9,403241,349201,9.37,8.11,401958,146.843,25.9,29.9,62,68.9,5
일본,2002,32632,0.1,109.3,416726,337598,10.13,8.2,469728,157.095,24.9,30.2,61.2,68.3,5.4
일본,2003,35264,1.5,107.6,471816,383299,10.61,8.62,673530,166.315,24.5,27.4,60.8,68.5,5.3
일본,2004,38264,2.2,106.4,565673,455189,11.75,9.45,844667,172.611,25.2,27.3,60.4,68.8,4.7
일본,2005,37861,1.7,105.1,594860,515809,12.51,10.85,846896,173.223,26.2,27.7,60.4,69.4,4.5
일본,2006,36201,1.4,104.2,646737,579042,14.28,12.78,895321,173.229,27,28.8,60.4,70,4.2
일본,2007,36195,1.7,103.4,714211,622135,15.82,13.78,973364,175.053,27.5,29.3,60.4,70.8,3.9
일본,2008,40221,-1.1,102.5,782049,762590,15.52,15.14,1030646,179.168,27.4,29.5,60.2,70.9,4
일본,2009,41688,-5.4,101.9,580719,551960,11.1,10.55,1052061,200.403,26,29.2,59.9,70.2,5.1
일본,2010,45490,4.2,100,769773,694052,13.5,12.18,1104680,205.063,26.5,30.2,59.6,70.3,5.1
일본,2011,49276,-0.1,98.4,822564,854998,13.36,13.89,1295838,219.259,27.5,30.8,59.3,70.8,4.6
일본,2012,49597,1.5,97.6,798620,886036,12.87,14.28,1268086,227.53,28.2,31.3,59,70.6,4.4
일본,2013,41529,2,97.3,714613,832343,13.86,16.14,1266778,230.38,28.9,31.6,59.3,71.8,4
일본,2014,39206,0.4,98.9,690202,812207,14.23,16.75,1260514,235.843,30.3,32,59.4,72.8,3.6
일본,2015,35614,1.2,101,624787,647982,14.23,14.76,1233153,234.073,30.7,32.3,59.6,73.4,3.4
일본,2016,39825,0.5,101.4,644899,607601,13.1,12.34,1216843,231.872,30.7,32.4,60,74.4,3.1
일본,2017,39531,2.2,101.4,698131,671921,14.34,13.81,1264141,230.941,31.4,32.5,60.5,75.3,2.8
일본,2018,40373,0.3,101.4,738195,748526,14.9,15.11,1270466,234.789,32,32.7,61.5,76.9,2.4
일본,2019,41403,0.3,102,705671,721078,13.93,14.24,1322443,233.669,,32.7,62.1,77.7,2.4
일본,2020,34355.48,-4.8,,,,,,1390809,224.9,,32.7,62,77.3,2.8
터키,2000,4274,6.9,21.8,27701,54367,10.1,19.82,23498,,23.5,40.4,50,,6.5
터키,2001,3065,-5.8,33.3,31331,41454,15.53,20.55,19871,,25.4,43.6,49.8,,8.4
터키,2002,3618,6.4,45.9,35974,51551,14.97,21.46,28101,,23.8,42.5,49.6,,10.4
터키,2003,4676,5.8,56.6,47125,69453,14.98,22.08,35549,,25,42.2,48.3,,10.5
터키,2004,6018,9.8,63.6,63196,97779,15.46,23.91,37252,,23.1,42.8,46.3,,10.8
터키,2005,7377,9,68.1,73715,117115,14.56,23.13,52491,,23.1,42.8,46.4,,10.6
터키,2006,8015,6.9,74.5,86003,140234,15.44,25.17,63265,,23.4,42.7,45.5,44.6,8.7
터키,2007,9702,5,79.1,107654,170837,15.8,25.07,76506,,22.9,42.2,45.5,44.7,8.9
