국가별,시점,외환보유액,금제외
아시아,1995,,
아시아,1996,,
아시아,1997,,
아시아,1998,,
아시아,1999,,
아시아,2000,,
아시아,2001,,
아시아,2002,,
아시아,2003,,
아시아,2004,,
아시아,2005,,
아시아,2006,,
아시아,2007,,
아시아,2008,,
아시아,2009,,
아시아,2010,,
아시아,2011,,
아시아,2012,,
아시아,2013,,
아시아,2014,,
아시아,2015,,
아시아,2016,,
아시아,2017,,
아시아,2018,,
아시아,2019,,
아시아,2020,,
한국,1995,32712,32678
한국,1996,33237,33201
한국,1997,20405,20369
한국,1998,52041,51974
한국,1999,74055,73987
한국,2000,96198,96130
한국,2001,102821,102753
한국,2002,121413,121343
한국,2003,155352,155281
한국,2004,199066,198994
한국,2005,210391,210317
한국,2006,238956,238882
한국,2007,262224,262150
한국,2008,201223,201148
한국,2009,269995,269916
한국,2010,291571,291491
한국,2011,306402,304236
한국,2012,326968,323207
한국,2013,346460,341665
한국,2014,363593,358798
한국,2015,367962,363167
한국,2016,371102,366307
한국,2017,389267,384472
한국,2018,403694,398900
한국,2019,408816,404021
한국,2020,443098,438303
이스라엘,1995,8120,8119
이스라엘,1996,11415,11415
이스라엘,1997,20332,20332
이스라엘,1998,22674,22674
이스라엘,1999,22605,22605
이스라엘,2000,23281,23281
이스라엘,2001,23379,23379
이스라엘,2002,24083,24083
이스라엘,2003,26315,26315
이스라엘,2004,27094,27094
이스라엘,2005,28059,28059
이스라엘,2006,29153,29153
이스라엘,2007,28519,28519
이스라엘,2008,42513,42513
이스라엘,2009,60611,60611
이스라엘,2010,70907,70907
이스라엘,2011,74874,74874
이스라엘,2012,75908,75908
이스라엘,2013,81786,81786
이스라엘,2014,86101,86101
이스라엘,2015,90575,90575
이스라엘,2016,95446,95446
이스라엘,2017,113010,113010
이스라엘,2018,115266,115266
이스라엘,2019,126008,126008
이스라엘,2020,173292,173292
일본,1995,184510,183250
일본,1996,217867,216648
일본,1997,220792,219648
일본,1998,216665,215471
일본,1999,288080,286916
일본,2000,361639,354902
일본,2001,401958,395155
일본,2002,469728,461186
일본,2003,673530,663289
일본,2004,844667,833891
일본,2005,846896,834275
일본,2006,895321,879682
일본,2007,973364,952784
일본,2008,1030646,1009365
일본,2009,1052061,1024900
일본,2010,1104680,1069985
일본,2011,1295838,1258172
일본,2012,1268086,1227147
일본,2013,1266778,1237218
일본,2014,1260514,1231010
일본,2015,1233153,1207019
일본,2016,1216843,1188327
일본,2017,1264141,1232244
일본,2018,1270466,1238935
일본,2019,1322443,1284974
일본,2020,1390809,1344283
터키,1995,13825,12442
터키,1996,17819,16436
터키,1997,20042,18658
터키,1998,20613,19489
터키,1999,24357,23346
터키,2000,23498,22488
터키,2001,19871,18879
터키,2002,28101,27069
터키,2003,35549,33991
터키,2004,37252,35669
터키,2005,52491,50579
터키,2006,63265,60892
터키,2007,76506,73384
터키,2008,73657,70428
터키,2009,74995,70874
터키,2010,85971,80713
터키,2011,88210,78322
터키,2012,119177,99943
터키,2013,131004,110927
터키,2014,127307,106906
터키,2015,110527,92921
터키,2016,104971,90919
터키,2017,107657,84115
터키,2018,92997,72867
터키,2019,105620,78532
터키,2020,93199,49958
북아메리카,1995,,
북아메리카,1996,,
북아메리카,1997,,
북아메리카,1998,,
북아메리카,1999,,
북아메리카,2000,,
북아메리카,2001,,
북아메리카,2002,,
북아메리카,2003,,
북아메리카,2004,,
북아메리카,2005,,
북아메리카,2006,,
북아메리카,2007,,
북아메리카,2008,,
북아메리카,2009,,
북아메리카,2010,,
북아메리카,2011,,
북아메리카,2012,,
북아메리카,2013,,
북아메리카,2014,,
북아메리카,2015,,
북아메리카,2016,,
북아메리카,2017,,
북아메리카,2018,,
북아메리카,2019,,
북아메리카,2020,,
캐나다,1995,15227,15049
캐나다,1996,20577,20422
캐나다,1997,17969,17823
캐나다,1998,23429,23307
캐나다,1999,28650,28126
캐나다,2000,32425,32102
캐나다,2001,34253,33962
캐나다,2002,37189,36984
캐나다,2003,36267,36222
캐나다,2004,34477,34429
캐나다,2005,33018,32962
캐나다,2006,35063,34994
캐나다,2007,41082,40991
캐나다,2008,43873,43778
캐나다,2009,54357,54238
캐나다,2010,57151,56998
캐나다,2011,65819,65652
캐나다,2012,68546,68365
캐나다,2013,71936,71821
캐나다,2014,74700,74584
캐나다,2015,79753,79695
캐나다,2016,82718,82718
캐나다,2017,86678,86678
캐나다,2018,83926,83926
캐나다,2019,85297,85297
캐나다,2020,90428,90428
멕시코,1995,17045,16847
멕시코,1996,19527,19433
멕시코,1997,28853,28797
멕시코,1998,31863,31799
멕시코,1999,31829,31782
멕시코,2000,35577,35509
멕시코,2001,44805,44741
멕시코,2002,50672,50594
멕시코,2003,59026,58956
멕시코,2004,64202,64141
멕시코,2005,74110,74054
멕시코,2006,76329,76271
멕시코,2007,87208,87109
멕시코,2008,95298,95126
멕시코,2009,99892,99589
멕시코,2010,120587,120265
멕시코,2011,149208,143991
멕시코,2012,167050,160413
멕시코,2013,180200,175432
멕시코,2014,195682,190923
멕시코,2015,177597,173458
멕시코,2016,178025,173536
멕시코,2017,175448,170458
멕시코,2018,176380,171445
멕시코,2019,183024,177177
멕시코,2020,199056,191769
미국,1995,85831,74781
미국,1996,75089,64041
미국,1997,69954,58907
미국,1998,81760,70715
미국,1999,71548,60500
미국,2000,67646,56600
미국,2001,68679,57634
미국,2002,79005,67962
미국,2003,85937,74894
미국,2004,86935,75890
미국,2005,65127,54084
미국,2006,65895,54854
미국,2007,70565,59524
미국,2008,77648,66607
미국,2009,130760,119719
미국,2010,132433,121392
미국,2011,147953,136912
미국,2012,150175,139134
미국,2013,144575,133533
미국,2014,130090,119048
미국,2015,117581,106540
미국,2016,117332,106291
미국,2017,123293,112252
미국,2018,125798,114757
미국,2019,129479,118438
미국,2020,144890,133849
남아메리카,1995,,
남아메리카,1996,,
남아메리카,1997,,
남아메리카,1998,,
남아메리카,1999,,
남아메리카,2000,,
남아메리카,2001,,
남아메리카,2002,,
남아메리카,2003,,
남아메리카,2004,,
남아메리카,2005,,
남아메리카,2006,,
남아메리카,2007,,
남아메리카,2008,,
남아메리카,2009,,
남아메리카,2010,,
남아메리카,2011,,
남아메리카,2012,,
남아메리카,2013,,
남아메리카,2014,,
남아메리카,2015,,
남아메리카,2016,,
남아메리카,2017,,
남아메리카,2018,,
남아메리카,2019,,
남아메리카,2020,,
칠레,1995,14783,14140
칠레,1996,15610,14973
칠레,1997,18106,17573
칠레,1998,16191,15869
칠레,1999,14933,14617
칠레,2000,15353,15035
칠레,2001,14398,14379
칠레,2002,15343,15341
칠레,2003,15842,15840
칠레,2004,15997,15994
칠레,2005,16933,16929
칠레,2006,19396,19392
칠레,2007,16842,16837
칠레,2008,23078,23072
칠레,2009,25292,25283
칠레,2010,27828,27816
칠레,2011,41944,41932
칠레,2012,41649,41636
칠레,2013,41093,41084
칠레,2014,40447,40438
칠레,2015,38641,38633
칠레,2016,40493,40484
칠레,2017,38982,38971
칠레,2018,39859,39849
칠레,2019,40656,40643
칠레,2020,39166,39151
콜롬비아,1995,8468,8349
콜롬비아,1996,9938,9845
콜롬비아,1997,9906,9803
콜롬비아,1998,8754,8651
콜롬비아,1999,8103,8008
콜롬비아,2000,9005,8916
콜롬비아,2001,10245,10154
콜롬비아,2002,10844,10732
콜롬비아,2003,10920,10784
콜롬비아,2004,13537,13394
콜롬비아,2005,14955,14787
콜롬비아,2006,15437,15296
콜롬비아,2007,20952,20767
콜롬비아,2008,23670,23479
콜롬비아,2009,24991,24748
콜롬비아,2010,28077,27766
콜롬비아,2011,31910,31386
콜롬비아,2012,36998,36444
콜롬비아,2013,43158,42758
콜롬비아,2014,46807,46408
콜롬비아,2015,46223,46104
콜롬비아,2016,46176,45962
콜롬비아,2017,47131,46699
콜롬비아,2018,47888,47359
콜롬비아,2019,52652,51973
콜롬비아,2020,58500,58248
코스타리카,1995,1047,1047
코스타리카,1996,1000,1000
코스타리카,1997,1262,1262
코스타리카,1998,1063,1063
코스타리카,1999,1460,1460
코스타리카,2000,1318,1318
코스타리카,2001,1330,1330
코스타리카,2002,1502,1502
코스타리카,2003,1839,1839
코스타리카,2004,1922,1922
코스타리카,2005,2313,2313
코스타리카,2006,3115,3115
코스타리카,2007,4114,4114
코스타리카,2008,3799,3799
코스타리카,2009,4066,4066
코스타리카,2010,4627,4627
코스타리카,2011,4756,4756
코스타리카,2012,6857,6857
코스타리카,2013,7331,7331
코스타리카,2014,7211,7211
코스타리카,2015,7834,7834
코스타리카,2016,7574,7574
코스타리카,2017,7150,7150
코스타리카,2018,7501,7501
코스타리카,2019,8937,8937
코스타리카,2020,7232,7232
유럽,1995,,
유럽,1996,,
유럽,1997,,
유럽,1998,,
유럽,1999,,
유럽,2000,,
유럽,2001,,
유럽,2002,,
유럽,2003,,
유럽,2004,,
유럽,2005,,
유럽,2006,,
유럽,2007,,
유럽,2008,,
유럽,2009,,
유럽,2010,,
유럽,2011,,
유럽,2012,,
유럽,2013,,
유럽,2014,,
유럽,2015,,
유럽,2016,,
유럽,2017,,
유럽,2018,,
유럽,2019,,
유럽,2020,,
오스트리아,1995,20954,18730
오스트리아,1996,24670,22865
오스트리아,1997,20904,19736
오스트리아,1998,25227,22432
오스트리아,1999,18923,15120
오스트리아,2000,17650,14319
오스트리아,2001,15598,12509
오스트리아,2002,13182,9683
오스트리아,2003,12729,8470
오스트리아,2004,12188,7858
오스트리아,2005,11828,6839
오스트리아,2006,12911,7010
오스트리아,2007,18219,10689
오스트리아,2008,16699,8912
오스트리아,2009,18052,8114
오스트리아,2010,22284,9589
오스트리아,2011,25161,10987
오스트리아,2012,27211,12232
오스트리아,2013,23290,12474
오스트리아,2014,24941,14145
오스트리아,2015,22236,12698
오스트리아,2016,23359,12940
오스트리아,2017,21574,9894
오스트리아,2018,23207,11653
오스트리아,2019,23600,9906
오스트리아,2020,30470,13416
벨기에,1995,23483,16177
벨기에,1996,23124,16953
벨기에,1997,21330,16190
벨기에,1998,20837,18272
벨기에,1999,13346,10938
벨기에,2000,12271,9994
벨기에,2001,13560,11266
벨기에,2002,14698,11855
벨기에,2003,14449,10989
벨기에,2004,13991,10361
벨기에,2005,11996,8241
벨기에,2006,13437,8783
벨기에,2007,16506,10384
벨기에,2008,15646,9318
벨기에,2009,23982,15907
벨기에,2010,26814,16499
벨기에,2011,29432,17918
벨기에,2012,30769,18600
벨기에,2013,26924,18139
벨기에,2014,25395,16626
벨기에,2015,24099,16352
벨기에,2016,23565,15103
벨기에,2017,26159,16673
벨기에,2018,26870,17487
벨기에,2019,28957,17835
벨기에,2020,33321,19470
체코,1995,14613,13843
체코,1996,13085,12352
체코,1997,10037,9734
체코,1998,12625,12542
체코,1999,12936,12806
체코,2000,13142,13019
체코,2001,14464,14341
체코,2002,23710,23556
체코,2003,26957,26771
체코,2004,28449,28259
체코,2005,29555,29330
체코,2006,31454,31182
체코,2007,34905,34550
체코,2008,37013,36655
체코,2009,41611,41157
체코,2010,42493,41909
체코,2011,40291,39670
체코,2012,44883,44265
체코,2013,56217,55798
체코,2014,54493,54085
체코,2015,64491,64148
체코,2016,85729,85366
체코,2017,147976,147583
체코,2018,142512,142151
체코,2019,149855,149464
체코,2020,166113,165541
덴마크,1995,11729,11016
덴마크,1996,14730,14140
덴마크,1997,19669,19124
덴마크,1998,15941,15264
덴마크,1999,22818,22287
덴마크,2000,15678,15108
덴마크,2001,17667,17110
덴마크,2002,27688,26986
덴마크,2003,37977,37105
덴마크,2004,40054,39084
덴마크,2005,34028,32930
덴마크,2006,31084,29724
덴마크,2007,34324,32534
덴마크,2008,42317,40466
덴마크,2009,76653,74291
덴마크,2010,76520,73503
덴마크,2011,85047,81679
덴마크,2012,89698,86138
덴마크,2013,88667,86099
덴마크,2014,75376,72812
덴마크,2015,65187,62917
덴마크,2016,64245,61764
덴마크,2017,75244,72470
덴마크,2018,70936,68200
덴마크,2019,66818,63577
덴마크,2020,72816,68777
에스토니아,1995,583,580
에스토니아,1996,640,637
에스토니아,1997,760,758
에스토니아,1998,813,811
에스토니아,1999,856,853
에스토니아,2000,923,921
에스토니아,2001,823,820
에스토니아,2002,1003,1000
에스토니아,2003,1377,1373
에스토니아,2004,1792,1788
에스토니아,2005,1947,1943
에스토니아,2006,2786,2781
에스토니아,2007,3270,3263
에스토니아,2008,3972,3965
에스토니아,2009,3981,3972
에스토니아,2010,2568,2556
에스토니아,2011,207,195
에스토니아,2012,301,287
에스토니아,2013,314,305
에스토니아,2014,437,427
에스토니아,2015,415,406
에스토니아,2016,352,343
에스토니아,2017,345,335
에스토니아,2018,755,745
에스토니아,2019,1426,1414
에스토니아,2020,1997,1982
핀란드,1995,10438,10038
핀란드,1996,7291,6916
핀란드,1997,8738,8417
핀란드,1998,10122,9694
핀란드,1999,8677,8220
핀란드,2000,8410,7977
핀란드,2001,8419,7983
핀란드,2002,9825,9285
핀란드,2003,11173,10515
핀란드,2004,12914,12222
핀란드,2005,11332,10521
핀란드,2006,7499,6494
핀란드,2007,8385,7063
핀란드,2008,8346,6979
핀란드,2009,11455,9711
핀란드,2010,9555,7327
핀란드,2011,10345,7857
핀란드,2012,11082,8453
핀란드,2013,11268,9369
핀란드,2014,10669,8774
핀란드,2015,10016,8341
핀란드,2016,10484,8655
핀란드,2017,10508,8458
핀란드,2018,10312,8284
핀란드,2019,11424,9020
핀란드,2020,13485,10492
프랑스,1995,58512,26853
프랑스,1996,57164,26796
프랑스,1997,55929,30927
프랑스,1998,74183,44312
프랑스,1999,67927,39701
프랑스,2000,63728,37039
프랑스,2001,58637,31749
프랑스,2002,61697,28365
프랑스,2003,70762,30186
프랑스,2004,77353,35314
프랑스,2005,74360,27753
프랑스,2006,98239,42652
프랑스,2007,115717,45710
프랑스,2008,102926,33617
프랑스,2009,133078,46633
프랑스,2010,166224,55800
프랑스,2011,171896,48611
프랑스,2012,184522,54231
프랑스,2013,144926,50849
프랑스,2014,143449,49547
프랑스,2015,138164,55193
