국가별,시점,인당_GDP,부채비율,실업률,상품및서비스수입,상품및서비스수출,정치적안정성,규제의질,경상수지
과테말라,2005,2068.500129,29.84,3.02,-0.57197038,-2.109630244,22,38,-4.633442144
과테말라,2006,2251.087963,28.48,3.02,6.450058803,4.790667156,25,46,-5.123659021
과테말라,2007,2490.749127,20.85,3.03,7.234670214,9.416119589,22,48,-5.31937263
과테말라,2008,2802.461962,20.04,3.08,-5.747167576,-0.162997452,22,50,-4.034822861
과테말라,2009,2651.817123,22.69,3.36,-7.801369348,-2.661219591,19,48,0.194642568
과테말라,2010,2852.547327,24.57,3.5,9.994590065,6.133976528,21,48,-1.885492291
과테말라,2011,3228.045741,23.74,3.12,7.001978017,3.007954772,23,49,-3.370234354
과테말라,2012,3355.036919,24.21,2.77,2.791891866,1.753647296,25,47,-3.724799325
과테말라,2013,3522.773706,25.34,3.02,4.258782655,6.662733741,24,46,-4.224391083
과테말라,2014,3779.642336,25.07,2.72,3.370191941,6.927340088,24,47,-3.300306178
과테말라,2015,3994.636913,24.74,2.51,3.647962116,2.837720864,23,47,-1.244307655
과테말라,2016,4173.301666,24.26,2.58,0.942356245,2.359042646,25,47,0.964771736
과테말라,2017,4454.04815,26.09,2.46,2.824775102,1.490103369,23,42,1.196134776
과테말라,2018,4478.424646,26.04,2.41,3.926998284,-0.311445291,28,47,0.850085261
과테말라,2019,4638.634943,27.88,2.36,4.910794017,0.080106348,25,44,2.325562603
과테말라,2020,4603.339617,31.26,4.65,-4.603250069,-4.449209706,31,45,5.074039886
그리스,2005,22551.73577,107.4,9.99,0.854104893,3.339476886,64,77,-7.352705322
그리스,2006,24801.15778,103.6,9.01,13.30978097,5.212741905,65,76,-10.82124646
그리스,2007,28827.32639,103.1,8.4,15.49941972,10.61835294,62,78,-13.99671521
그리스,2008,31997.28202,109.4,7.76,1.320712289,3.472802964,54,76,-14.47185503
그리스,2009,29710.97023,126.7,9.62,-20.35391405,-18.51933595,38,75,-10.89259603
그리스,2010,26690.60742,147.5,12.71,-3.430610638,4.861192368,41,72,-10.19508337
그리스,2011,25450.53412,175.2,17.87,-9.594901236,0.63894463,42,68,-10.1191522
그리스,2012,21914.25173,162,24.44,-5.511402347,1.962690916,39,69,-2.549998636
그리스,2013,21781.59535,178.2,27.47,-3.477623639,1.787376098,40,73,-2.07215943
그리스,2014,21587.95755,180.3,26.49,6.74602001,8.247337631,40,64,-1.588259525
그리스,2015,18076.60676,176.7,24.9,7.850899387,5.018175967,39,67,-0.82379953
그리스,2016,17911.79938,180.5,23.54,2.155816726,-0.414612472,41,59,-1.689518152
그리스,2017,18536.19072,179.5,21.49,7.374129384,8.511477939,42,63,-1.808869182
그리스,2018,19747.34258,186.4,19.29,8.099445619,9.117633878,53,66,-2.948168897
그리스,2019,19133.75776,180.7,17.31,3.051942826,4.885430257,54,71,-1.517035962
그리스,2020,17622.541,206.3,16.85,-7.630607787,-21.54536893,51,72,-6.573473428
네덜란드,2005,41979.05585,49.8,5.87,5.427500404,5.760175605,79,99,6.06783176
네덜란드,2006,44863.35063,45.2,5,7.650056254,7.172885964,76,97,7.799224428
네덜란드,2007,51733.44213,43,4.15,7.813123486,5.354911441,73,98,5.906151894
네덜란드,2008,57644.47997,54.7,3.65,-0.700672125,1.616815944,76,97,4.109995905
네덜란드,2009,52514.02712,56.8,4.35,-7.806533844,-8.641740368,82,97,5.767098503
네덜란드,2010,50950.03434,59.2,4.99,8.521722297,9.727604623,82,97,7.300571697
네덜란드,2011,54159.34661,61.7,4.98,3.871521934,5.159174883,90,97,9.000619167
네덜란드,2012,50073.00566,66.2,5.82,2.184659454,3.258790906,91,96,10.66950174
네덜란드,2013,52184.06185,67.7,7.24,2.234700687,2.478377309,91,96,9.749622577
네덜란드,2014,52830.17423,67.9,7.42,3.266635837,4.546410944,86,96,8.52464333
네덜란드,2015,45175.23189,64.6,6.87,14.52894728,7.393800687,80,97,6.348486403
네덜란드,2016,46007.85292,61.9,6.01,-1.977269309,1.668265092,78,99,8.036454796
네덜란드,2017,48554.99228,56.9,4.84,6.18987292,6.49973287,80,99,10.84758875
네덜란드,2018,53018.62936,52.4,3.83,4.723190534,4.330415052,76,99,10.84281997
네덜란드,2019,52476.27325,48.5,3.38,3.233176322,1.979894356,76,98,9.369515082
네덜란드,2020,52397.11671,54.3,4.09,-5.533187027,-4.830444106,74,97,6.965475166
노르웨이,2005,66810.47852,41.3,4.38,7.915471799,0.452732622,94,91,16.17676605
노르웨이,2006,74148.32008,52,3.4,9.076101965,-0.805967567,94,86,16.179423
노르웨이,2007,85139.96045,49,2.49,10.02004785,1.360659837,92,87,12.40403234
노르웨이,2008,96944.09561,46.7,2.55,3.201176915,0.132299286,96,89,15.77394514
노르웨이,2009,79977.69708,41.5,3.1,-10.31351005,-4.10050579,93,93,11.69604529
노르웨이,2010,87693.79007,42.8,3.52,8.416536751,0.556215322,95,93,11.72181976
노르웨이,2011,100600.5624,29,3.22,3.945106876,-0.814433974,97,94,13.33649743
노르웨이,2012,101524.1419,30.1,3.12,2.857168586,1.719790237,95,93,12.48176084
노르웨이,2013,102913.4508,30.9,3.42,4.973188295,-1.775150062,96,95,10.22450643
노르웨이,2014,97019.18275,28.7,3.48,2.00224348,3.405932056,90,93,11.02800036
노르웨이,2015,74355.51586,33.4,4.3,1.934527764,4.342248267,91,92,8.062585073
노르웨이,2016,70460.56053,37.2,4.68,2.672761436,1.065745639,93,93,4.003476423
노르웨이,2017,75496.75406,37.8,4.16,1.878585763,1.69946122,90,96,5.434298046
노르웨이,2018,82267.80932,39.1,3.8,1.396690349,-1.223763497,91,97,8.00032865
노르웨이,2019,75826.08188,40.3,3.69,4.697383211,0.526624786,92,97,2.882182432
노르웨이,2020,67389.91205,45.9,4.62,-11.87074102,-0.453633945,94,96,1.981901325
뉴질랜드,2005,27751.06547,12.7,3.81,4.870060023,-0.442598799,92,97,-6.995367949
뉴질랜드,2006,26654.5932,9.8,3.86,-1.67128368,3.468783854,94,98,-7.065173414
뉴질랜드,2007,32479.98174,7.6,3.66,10.54601869,3.923490448,95,97,-6.797017544
뉴질랜드,2008,31252.96256,5.4,4.17,-3.165725456,-2.68554998,92,98,-7.709481547
뉴질랜드,2009,28209.36233,9,6.12,-9.359049047,4.036075792,87,100,-2.480107796
뉴질랜드,2010,33676.77412,13.6,6.56,11.49454224,2.820962,91,99,-2.340594853
뉴질랜드,2011,38387.62708,19.5,6.49,6.572991482,2.294145616,98,100,-2.865769455
뉴질랜드,2012,39973.38076,23.6,6.93,1.326664963,3.04134625,97,99,-3.908650838
뉴질랜드,2013,42976.64959,25.5,5.77,8.127660193,0.135514858,99,98,-3.057464071
뉴질랜드,2014,44572.89875,25.3,5.37,7.419437124,4.650778036,100,99,-3.09166874
뉴질랜드,2015,38630.72659,24.7,5.35,2.273994208,6.241918048,99,99,-2.631610575
뉴질랜드,2016,40080.49411,24,5.08,5.192098306,1.555634436,100,99,-2.192136593
뉴질랜드,2017,42992.89527,21.6,4.7,7.226949886,3.551801249,99,99,-2.796095037
뉴질랜드,2018,43306.07,19.4,4.3,3.93883284,2.832904986,99,99,-3.821808722
뉴질랜드,2019,42755.21626,18.6,4.07,1.035421495,-0.24844518,97,99,-2.833173418
뉴질랜드,2020,41441.46667,26.3,4.55,-15.90927384,-17.63127445,98,100,-0.933021834
니카라과,2005,1162.289685,109.8,5.37,8.599738817,7.669463785,36,38,-12.39563991
니카라과,2006,1226.644309,66.7,5.31,4.441131212,12.49264965,37,37,-13.080663
니카라과,2007,1327.966782,62.2,4.89,12.1439618,9.621595435,40,35,-16.25934787
니카라과,2008,1499.25762,57.91,6.2,10.16749454,8.119123027,38,38,-17.06848433
니카라과,2009,1444.36951,61.09,8.16,-9.135544402,0.040873791,34,37,-8.453151679
니카라과,2010,1503.864191,61,7.83,12.06564481,16.31559833,28,42,-8.874713834
니카라과,2011,1655.802946,55.7,6.45,11.50178429,8.25657638,38,42,-11.90780349
니카라과,2012,1760.460308,53.2,5.21,6.78733516,12.39657503,37,43,-11.72426154
니카라과,2013,1811.636803,52.7,5.28,2.350523731,3.817038748,38,44,-12.5685387
니카라과,2014,1934.062922,48.8,4.52,3.09274312,6.448124575,43,38,-8.02832619
