국가별,시점,국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),장래인구 (1000명),실업률 (%),소비자물가지수 (2010=100)
한국,1995,566.8,12569,9.6,125058,135119,45093,2.1,54.8
한국,1996,609.9,13398,7.9,129715,150339,45525,2,57.5
한국,1997,569.9,12401,6.2,136164,144616,45954,2.6,60.1
한국,1998,384,8297,-5.1,132313,93282,46287,7,64.6
한국,1999,497.2,10667,11.5,143685,119752,46617,6.3,65.1
한국,2000,576.4,12261,9.1,172268,160481,47008,4.4,66.6
한국,2001,547.7,11563,4.9,150439,141098,47370,4,69.3
한국,2002,627.2,13164,7.7,162471,152126,47645,3.3,71.2
한국,2003,702.6,14669,3.1,193817,178827,47892,3.6,73.7
한국,2004,793.6,16506,5.2,253845,224463,48083,3.7,76.3
한국,2005,934.7,19399,4.3,284419,261238,48185,3.7,78.4
한국,2006,1052.4,21727,5.3,325465,309383,48438,3.5,80.2
한국,2007,1172.7,24088,5.8,371489,356846,48684,3.2,82.2
한국,2008,1046.8,21340,3,422007,435275,49055,3.2,86.1
한국,2009,944.3,19152,0.8,363534,323085,49308,3.6,88.5
한국,2010,1143.9,23083,6.8,466384,425212,49554,3.7,91.1
한국,2011,1253.4,25100,3.7,555214,524413,49937,3.4,94.7
한국,2012,1278,25458,2.4,547870,519584,50200,3.2,96.8
한국,2013,1370.6,27178,3.2,559632,515586,50429,3.1,98
한국,2014,1484,29242,3.2,572665,525515,50747,3.5,99.3
한국,2015,1465.3,28724,2.8,526757,436499,51015,3.6,100
한국,2016,1500,29287,2.9,495426,406193,51218,3.7,101
한국,2017,1623.3,31605,3.2,573694,478478,51362,3.7,102.9
한국,2018,1725.2,33429,2.9,604860,535202,51607,3.8,104.5
한국,2019,1651,31929,2.2,542233,503343,51709,3.8,104.9
한국,2020,1638.2,31637,-0.9,512498,467633,51781,4,105.4
이스라엘,1995,100.7,18167,-,19046,29579,5271,8.8,59.4
이스라엘,1996,110.4,19401,5,20610,31685,5424,8.5,66.2
이스라엘,1997,115,19701,3.9,22591,30840,5567,9.8,72.1
이스라엘,1998,116.2,19462,4,22734,29342,5699,10.8,76.1
이스라엘,1999,117.4,19163,3.1,25794,33166,5825,11.2,80
이스라엘,2000,132.7,21101,7.5,28335,35214,5946,11.1,80.8
이스라엘,2001,131.1,20354,0.1,25719,32697,6061,11.8,81.8
이스라엘,2002,121.4,18480,0,25632,32548,6169,12.9,86.5
이스라엘,2003,127.3,19034,1.1,27875,33657,6278,13.5,87.1
이스라엘,2004,135.7,19934,4.2,33804,40347,6397,13,86.7
이스라엘,2005,142.7,20586,3.8,36608,44453,6529,11.3,87.9
이스라엘,2006,154.2,21855,5.6,39714,47333,6681,10.7,89.7
이스라엘,2007,179.1,24939,5.7,45924,56115,6847,9.4,90.1
이스라엘,2008,216.3,29600,3,51276,64474,7021,7.7,94.2
이스라엘,2009,207.5,27720,0.9,42007,46863,7190,9.5,97.4
이스라엘,2010,234,30694,5.6,50766,58575,7346,8.5,100
이스라엘,2011,261,33611,4.6,58065,72663,7487,7.1,103.5
이스라엘,2012,257.2,32510,2.4,53892,72168,7615,6.9,105.2
이스라엘,2013,292.7,36316,4.2,56844,71071,7735,6.2,106.9
이스라엘,2014,310,37738,3.9,57657,71464,7854,5.9,107.4
이스라엘,2015,300.1,35814,2.2,53536,61340,7978,5.3,106.7
이스라엘,2016,318.6,37283,3.8,52175,65048,8109,4.8,106.1
이스라엘,2017,352.7,40475,3.6,53063,68006,8244,4.2,106.4
이스라엘,2018,370.5,41705,3.5,54211,75741,8382,4,107.3
이스라엘,2019,394.7,43589,3.5,51899,75697,8519,3.8,108.2
이스라엘,2020,402,43611,-2.4,49372,69810,8656,4.3,107.5
일본,1995,5449.1,43429,2.7,443116,336042,126365,3.2,101.1
일본,1996,4833.7,38437,3.1,410922,349165,126644,3.4,101.3
일본,1997,4414.7,35022,1.1,420956,338753,126893,3.4,103
일본,1998,4032.5,31903,-1.1,387935,280489,127117,4.1,103.7
일본,1999,4562.1,36027,-0.3,419354,311244,127326,4.7,103.4
일본,2000,4887.5,38532,2.8,479296,379727,127524,4.8,102.7
일본,2001,4303.5,33846,0.4,403241,349201,127714,5,101.9
일본,2002,4115.1,32289,0.1,416726,337598,127893,5.4,101
일본,2003,4445.7,34808,1.5,471816,383299,128058,5.3,100.7
일본,2004,4815.1,37689,2.2,565673,455189,128204,4.7,100.7
일본,2005,4755.4,37218,1.7,594860,515809,128326,4.5,100.4
일본,2006,4530.4,35434,1.4,646737,579042,128423,4.2,100.7
일본,2007,4515.3,35275,1.7,714211,622135,128494,3.9,100.7
일본,2008,5037.9,39339,-1.1,782049,762590,128539,4,102.1
일본,2009,5231.4,40855,-5.4,580719,551960,128555,5.1,100.7
일본,2010,5700.1,44508,4.2,769773,694052,128542,5.1,100
일본,2011,6157.5,48168,-0.1,822564,854998,128499,4.6,99.7
일본,2012,6203.2,48603,1.5,798620,886036,128424,4.4,99.7
일본,2013,5155.7,40454,2,714613,832343,128314,4,100
일본,2014,4850.4,38109,0.4,690202,812207,128169,3.6,102.8
일본,2015,4389.5,34524,1.2,624787,647982,127985,3.4,103.6
일본,2016,4922.5,38762,0.5,644899,607601,127763,3.1,103.5
일본,2017,4866.9,38387,2.2,698131,671921,127503,2.8,104
일본,2018,4954.8,39159,0.3,738195,748526,127202,2.4,105
일본,2019,5064.9,40113,0.3,705671,721078,126860,2.4,105.5
일본,2020,-,-,-,641341,634430,126476,2.8,105.5
터키,1995,169.5,2898,7.9,21599,35710,58486,7.6,1.3
터키,1996,181.5,3054,7.4,23245,43628,59423,6.6,2.4
터키,1997,189.8,3144,7.6,26260,48560,60373,6.8,4.4
터키,1998,276,4500,2.4,26881,45921,61330,6.9,8.1
터키,1999,256.4,4116,-3.3,26587,40226,62287,7.7,13.3
터키,2000,274.3,4337,6.9,27701,54367,63240,6.5,20.6
터키,2001,201.8,3143,-5.8,31331,41454,64192,8.4,31.8
터키,2002,240.3,3688,6.4,35974,51551,65145,10.4,46.1
터키,2003,314.6,4760,5.8,47125,69453,66089,10.5,56.1
터키,2004,408.9,6102,9.8,63196,97779,67011,10.8,60.9
터키,2005,506.3,7456,9,73715,117115,67903,10.6,65.9
터키,2006,557.1,8102,6.9,86003,140234,68757,8.7,72.2
터키,2007,681.3,9792,5,107654,170837,69582,8.9,78.5
터키,2008,770.5,10941,0.8,132446,201851,70419,9.7,86.7
터키,2009,649.3,9103,-4.8,102471,141186,71321,12.6,92.1
터키,2010,777,10743,8.4,114022,185531,72327,10.7,100
터키,2011,838.8,11421,11.2,135288,241076,73443,8.8,106.5
터키,2012,880.6,11796,4.8,152905,237310,74651,8.2,115.9
터키,2013,957.8,12615,8.5,161698,260639,75925,8.7,124.6
터키,2014,939,12158,4.9,166658,250916,77229,9.9,135.7
터키,2015,864.3,11006,6.1,151158,213281,78529,10.2,146.1
터키,2016,869.7,10895,3.3,149390,202089,79828,10.8,157.4
터키,2017,859,10590,7.5,164671,238662,81116,10.8,175
터키,2018,778.4,9453,3,177328,230447,82340,10.9,203.5
터키,2019,761.4,9127,0.9,181021,210261,83430,13.7,234.4
터키,2020,720.1,8538,1.8,169835,219758,84339,13.1,263.2
캐나다,1995,604,20614,-,191160,-,29164,9.5,75.2
캐나다,1996,628.5,21227,-,202319,-,29458,9.6,76.4
캐나다,1997,655,21902,-,215241,-,29742,9.1,77.6
캐나다,1998,634,21025,2.8,214647,-,30022,8.3,78.4
캐나다,1999,678.4,22315,4,239341,-,30303,7.6,79.7
캐나다,2000,744.8,24271,4.9,288057,243646,30588,6.8,81.9
캐나다,2001,739,23822,1.4,270824,225847,30880,7.2,84
캐나다,2002,760.6,24255,3.4,262476,226952,31178,7.7,85.9
캐나다,2003,895.5,28300,3.8,283926,244646,31488,7.6,88.2
캐나다,2004,1026.7,32144,3.9,328673,279361,31815,7.2,89.9
캐나다,2005,1173.1,36383,5,370734,320129,32164,6.8,91.9
캐나다,2006,1319.3,40504,4.2,398470,356714,32537,6.3,93.7
