국가별,시점,신용등급점수
과테말라,2005,8
과테말라,2006,9.33
과테말라,2007,9
과테말라,2008,9
과테말라,2009,9
과테말라,2010,10
과테말라,2011,9
과테말라,2012,9
과테말라,2013,10
과테말라,2014,9
과테말라,2015,10
과테말라,2016,9.5
과테말라,2017,8
과테말라,2018,8
과테말라,2019,9
과테말라,2020,8.33
그리스,2005,15.33
그리스,2006,15.33
그리스,2007,15.5
그리스,2008,15
그리스,2009,14.5
그리스,2010,11.25
그리스,2011,5.18
그리스,2012,1.9
그리스,2013,3.67
그리스,2014,5.5
그리스,2015,3.7
그리스,2016,5
그리스,2017,4.25
그리스,2018,6.25
그리스,2019,7.75
그리스,2020,8.4
네덜란드,2005,20
네덜란드,2006,20
네덜란드,2007,20
네덜란드,2008,20
네덜란드,2009,20
네덜란드,2010,20
네덜란드,2011,20
네덜란드,2012,20
네덜란드,2013,19.5
네덜란드,2014,20
네덜란드,2015,19.5
네덜란드,2016,20
네덜란드,2017,20
네덜란드,2018,20
네덜란드,2019,20
네덜란드,2020,20
노르웨이,2005,20
노르웨이,2006,20
노르웨이,2007,20
노르웨이,2008,20
노르웨이,2009,20
노르웨이,2010,20
노르웨이,2011,20
노르웨이,2012,20
노르웨이,2013,20
노르웨이,2014,20
노르웨이,2015,20
노르웨이,2016,20
노르웨이,2017,20
노르웨이,2018,20
노르웨이,2019,20
노르웨이,2020,20
뉴질랜드,2005,19
뉴질랜드,2006,19
뉴질랜드,2007,19
뉴질랜드,2008,19
뉴질랜드,2009,19
뉴질랜드,2010,19
뉴질랜드,2011,18
뉴질랜드,2012,18
뉴질랜드,2013,18
뉴질랜드,2014,18
뉴질랜드,2015,18
뉴질랜드,2016,18
뉴질랜드,2017,18
뉴질랜드,2018,18
뉴질랜드,2019,18
뉴질랜드,2020,18
니카라과,2005,4
니카라과,2006,4
니카라과,2007,4
니카라과,2008,4
니카라과,2009,4
니카라과,2010,5
니카라과,2011,5
니카라과,2012,5
니카라과,2013,5
니카라과,2014,5
니카라과,2015,6.5
