국가별,시점,경제활동참가율 (%)
아시아,2000,
아시아,2001,
아시아,2002,
아시아,2003,
아시아,2004,
아시아,2005,
아시아,2006,
아시아,2007,
아시아,2008,
아시아,2009,
아시아,2010,
아시아,2011,
아시아,2012,
아시아,2013,
아시아,2014,
아시아,2015,
아시아,2016,
아시아,2017,
아시아,2018,
아시아,2019,
아시아,2020,
한국,2000,61.2
한국,2001,61.5
한국,2002,62.1
한국,2003,61.6
한국,2004,62.3
한국,2005,62.2
한국,2006,62.2
한국,2007,62.2
한국,2008,61.7
한국,2009,61
한국,2010,61.1
한국,2011,61.3
한국,2012,61.6
한국,2013,61.7
한국,2014,62.7
한국,2015,62.8
한국,2016,62.9
한국,2017,63.2
한국,2018,63.1
한국,2019,63.3
한국,2020,62.5
이스라엘,2000,61.4
이스라엘,2001,61.3
이스라엘,2002,60.6
이스라엘,2003,60.9
이스라엘,2004,61.4
이스라엘,2005,61.8
이스라엘,2006,62.2
이스라엘,2007,62.8
이스라엘,2008,62.8
이스라엘,2009,62.9
이스라엘,2010,63.3
이스라엘,2011,63
이스라엘,2012,63.6
이스라엘,2013,63.7
이스라엘,2014,64.2
이스라엘,2015,64.1
이스라엘,2016,64.1
이스라엘,2017,64
이스라엘,2018,63.9
이스라엘,2019,63.5
일본,2000,62.4
일본,2001,62
일본,2002,61.2
일본,2003,60.8
일본,2004,60.4
일본,2005,60.4
일본,2006,60.4
일본,2007,60.4
일본,2008,60.2
일본,2009,59.9
일본,2010,59.6
일본,2011,59.3
일본,2012,59
일본,2013,59.3
일본,2014,59.4
일본,2015,59.6
일본,2016,60
일본,2017,60.5
일본,2018,61.5
일본,2019,62.1
일본,2020,62
터키,2000,50
터키,2001,49.8
터키,2002,49.6
터키,2003,48.3
터키,2004,46.3
터키,2005,46.4
터키,2006,45.5
터키,2007,45.5
터키,2008,46.2
터키,2009,47.1
터키,2010,48.1
터키,2011,49.3
터키,2012,49.4
터키,2013,50.3
터키,2014,50.5
터키,2015,51.2
터키,2016,52
터키,2017,52.8
터키,2018,53.2
터키,2019,52.9
터키,2020,49.3
북아메리카,2000,
북아메리카,2001,
북아메리카,2002,
북아메리카,2003,
북아메리카,2004,
북아메리카,2005,
북아메리카,2006,
북아메리카,2007,
북아메리카,2008,
북아메리카,2009,
북아메리카,2010,
북아메리카,2011,
북아메리카,2012,
북아메리카,2013,
북아메리카,2014,
북아메리카,2015,
북아메리카,2016,
북아메리카,2017,
북아메리카,2018,
북아메리카,2019,
북아메리카,2020,
캐나다,2000,65.8
캐나다,2001,65.9
캐나다,2002,66.9
캐나다,2003,67.6
캐나다,2004,67.5
캐나다,2005,67.1
캐나다,2006,67
캐나다,2007,67.4
캐나다,2008,67.6
캐나다,2009,67.1
캐나다,2010,66.9
캐나다,2011,66.7
캐나다,2012,66.5
캐나다,2013,66.5
캐나다,2014,66
캐나다,2015,65.8
캐나다,2016,65.7
캐나다,2017,65.8
캐나다,2018,65.4
캐나다,2019,65.7
캐나다,2020,64
멕시코,2000,61.7
멕시코,2001,61
멕시코,2002,57.9
멕시코,2003,58.3
멕시코,2004,58.9
멕시코,2005,59.3
멕시코,2006,60.1
멕시코,2007,60.1
멕시코,2008,59.9
멕시코,2009,59.9
멕시코,2010,59.7
멕시코,2011,59.8
멕시코,2012,60.4
멕시코,2013,60.3
멕시코,2014,59.8
멕시코,2015,59.8
멕시코,2016,59.7
멕시코,2017,59.3
멕시코,2018,59.6
멕시코,2019,60.1
멕시코,2020,55.5
미국,2000,67.1
미국,2001,66.8
미국,2002,66.6
미국,2003,66.2
미국,2004,66
미국,2005,66.1
미국,2006,66.2
미국,2007,66
미국,2008,66
미국,2009,65.4
미국,2010,64.7
미국,2011,64.1
미국,2012,63.7
미국,2013,63.3
미국,2014,62.9
미국,2015,62.7
미국,2016,62.8
미국,2017,62.9
미국,2018,62.9
미국,2019,63.1
미국,2020,61.8
남아메리카,2000,
남아메리카,2001,
남아메리카,2002,
남아메리카,2003,
남아메리카,2004,
남아메리카,2005,
남아메리카,2006,
남아메리카,2007,
남아메리카,2008,
남아메리카,2009,
남아메리카,2010,
남아메리카,2011,
남아메리카,2012,
남아메리카,2013,
남아메리카,2014,
남아메리카,2015,
남아메리카,2016,
남아메리카,2017,
남아메리카,2018,
남아메리카,2019,
남아메리카,2020,
칠레,2000,55.9
칠레,2001,55
칠레,2002,54.5
칠레,2003,55
칠레,2004,55.4
칠레,2005,55.7
칠레,2006,56.9
칠레,2007,57.4
칠레,2008,58.6
칠레,2009,58.4
칠레,2010,58.7
칠레,2011,60
칠레,2012,59.7
칠레,2013,59.7
칠레,2014,60
칠레,2015,59.9
칠레,2016,59.6
칠레,2017,59.9
칠레,2018,59.8
칠레,2019,59.6
칠레,2020,55.3
콜롬비아,2000,64.9
콜롬비아,2001,67.6
콜롬비아,2002,66.6
콜롬비아,2003,67.4
콜롬비아,2004,65.9
콜롬비아,2005,65.3
콜롬비아,2006,65
