국가별,시점,국내총생산
한국,2000,12261
한국,2001,11563
한국,2002,13164
한국,2003,14669
한국,2004,16506
한국,2005,19399
한국,2006,21727
한국,2007,24088
한국,2008,21340
한국,2009,19152
한국,2010,23083
한국,2011,25100
한국,2012,25458
한국,2013,27178
한국,2014,29242
한국,2015,28724
한국,2016,29287
한국,2017,31605
한국,2018,33429
한국,2019,31929
한국,2020,31637
이스라엘,2000,21101
이스라엘,2001,20354
이스라엘,2002,18480
이스라엘,2003,19034
이스라엘,2004,19934
이스라엘,2005,20586
이스라엘,2006,21855
이스라엘,2007,24939
이스라엘,2008,29600
이스라엘,2009,27720
이스라엘,2010,30694
이스라엘,2011,33611
이스라엘,2012,32510
이스라엘,2013,36316
이스라엘,2014,37738
이스라엘,2015,35814
이스라엘,2016,37283
이스라엘,2017,40475
이스라엘,2018,41705
이스라엘,2019,43589
이스라엘,2020,43611
일본,2000,38532
일본,2001,33846
일본,2002,32289
일본,2003,34808
일본,2004,37689
일본,2005,37218
일본,2006,35434
일본,2007,35275
일본,2008,39339
일본,2009,40855
일본,2010,44508
일본,2011,48168
일본,2012,48603
일본,2013,40454
일본,2014,38109
일본,2015,34524
일본,2016,38762
일본,2017,38387
일본,2018,39159
일본,2019,40113
터키,2000,4337
터키,2001,3143
터키,2002,3688
터키,2003,4760
터키,2004,6102
터키,2005,7456
터키,2006,8102
터키,2007,9792
터키,2008,10941
터키,2009,9103
터키,2010,10743
터키,2011,11421
터키,2012,11796
터키,2013,12615
터키,2014,12158
터키,2015,11006
터키,2016,10895
터키,2017,10590
터키,2018,9453
터키,2019,9127
터키,2020,8538
캐나다,2000,24271
캐나다,2001,23822
캐나다,2002,24255
캐나다,2003,28300
캐나다,2004,32144
캐나다,2005,36383
캐나다,2006,40504
캐나다,2007,44660
캐나다,2008,46711
캐나다,2009,40876
캐나다,2010,47562
캐나다,2011,52224
캐나다,2012,52669
캐나다,2013,52635
캐나다,2014,50956
캐나다,2015,43596
캐나다,2016,42316
캐나다,2017,45129
캐나다,2018,46455
캐나다,2019,46327
캐나다,2020,43242
멕시코,2000,7158
멕시코,2001,7545
멕시코,2002,7593
멕시코,2003,7075
멕시코,2004,7484
멕시코,2005,8278
멕시코,2006,9068
멕시코,2007,9643
멕시코,2008,10017
멕시코,2009,8003
멕시코,2010,9271
멕시코,2011,10203
멕시코,2012,10242
멕시코,2013,10725
멕시코,2014,10929
멕시코,2015,9617
멕시코,2016,8745
멕시코,2017,9288
멕시코,2018,9687
멕시코,2019,9946
멕시코,2020,8347
미국,2000,36335
미국,2001,37133
미국,2002,38023
미국,2003,39496
미국,2004,41713
미국,2005,44115
미국,2006,46299
미국,2007,47976
미국,2008,48383
미국,2009,47100
미국,2010,48467
미국,2011,49883
미국,2012,51603
미국,2013,53107
미국,2014,55050
미국,2015,56863
미국,2016,58021
미국,2017,60110
미국,2018,63064
미국,2019,65280
미국,2020,63544
칠레,2000,5075
칠레,2001,4575
칠레,2002,4446
칠레,2003,4773
칠레,2004,6195
칠레,2005,7599
칠레,2006,9465
칠레,2007,10502
칠레,2008,10751
칠레,2009,10209
칠레,2010,12808
칠레,2011,14637
칠레,2012,15352
칠레,2013,15843
칠레,2014,14671
칠레,2015,13574
칠레,2016,13754
칠레,2017,14999
칠레,2018,15888
칠레,2019,14742
칠레,2020,13232
콜롬비아,2000,2520
콜롬비아,2001,2440
콜롬비아,2002,2397
콜롬비아,2003,2281
콜롬비아,2004,2783
콜롬비아,2005,3414
콜롬비아,2006,3741
콜롬비아,2007,4714
콜롬비아,2008,5473
콜롬비아,2009,5193
콜롬비아,2010,6337
콜롬비아,2011,7335
콜롬비아,2012,8050
콜롬비아,2013,8218
콜롬비아,2014,8114
콜롬비아,2015,6176
콜롬비아,2016,5871
콜롬비아,2017,6377
콜롬비아,2018,6730
콜롬비아,2019,6425
콜롬비아,2020,5333
코스타리카,2000,3789
코스타리카,2001,3960
코스타리카,2002,4043
코스타리카,2003,4148
코스타리카,2004,4405
코스타리카,2005,4676
코스타리카,2006,5227
코스타리카,2007,6104
코스타리카,2008,6901
코스타리카,2009,6801
코스타리카,2010,8227
코스타리카,2011,9230
코스타리카,2012,10075
코스타리카,2013,10744
코스타리카,2014,10847
코스타리카,2015,11643
코스타리카,2016,12011
코스타리카,2017,12226
코스타리카,2018,12469
코스타리카,2019,12670
코스타리카,2020,12077
오스트리아,2000,24564
오스트리아,2001,24538
오스트리아,2002,26402
오스트리아,2003,32223
오스트리아,2004,36822
오스트리아,2005,38403
오스트리아,2006,40635
오스트리아,2007,46856
오스트리아,2008,51709
오스트리아,2009,47963
오스트리아,2010,46858
오스트리아,2011,51375
오스트리아,2012,48568
오스트리아,2013,50717
오스트리아,2014,51717
오스트리아,2015,44178
오스트리아,2016,45277
오스트리아,2017,47309
오스트리아,2018,51453
오스트리아,2019,50122
오스트리아,2020,48105
벨기에,2000,23042
벨기에,2001,22995
벨기에,2002,24888
벨기에,2003,30588
벨기에,2004,35364
벨기에,2005,36796
벨기에,2006,38673
벨기에,2007,44263
벨기에,2008,48107
벨기에,2009,44584
벨기에,2010,44142
벨기에,2011,47349
벨기에,2012,44673
벨기에,2013,46745
벨기에,2014,47701
벨기에,2015,40992
벨기에,2016,41984
벨기에,2017,44089
벨기에,2018,47555
벨기에,2019,46414
벨기에,2020,44594
체코,2000,6029
체코,2001,6637
체코,2002,8061
체코,2003,9819
체코,2004,11750
체코,2005,13431
체코,2006,15262
체코,2007,18467
체코,2008,22805
체코,2009,19862
체코,2010,19960
체코,2011,21871
체코,2012,19871
체코,2013,20133
체코,2014,19891
체코,2015,17830
체코,2016,18575
체코,2017,20636
체코,2018,23420
체코,2019,23490
체코,2020,22762
덴마크,2000,30744
덴마크,2001,30752
덴마크,2002,33229
덴마크,2003,40459
덴마크,2004,46512
덴마크,2005,48800
덴마크,2006,52027
덴마크,2007,58487
덴마크,2008,64322
덴마크,2009,58163
덴마크,2010,58041
덴마크,2011,61754
덴마크,2012,58508
덴마크,2013,61191
덴마크,2014,62549
덴마크,2015,53255
덴마크,2016,54664
덴마크,2017,57610
덴마크,2018,61599
덴마크,2019,60213
덴마크,2020,60909
에스토니아,2000,4076
에스토니아,2001,4509
에스토니아,2002,5345
에스토니아,2003,7206
에스토니아,2004,8913
에스토니아,2005,10406
에스토니아,2006,12632
에스토니아,2007,16742
에스토니아,2008,18227
에스토니아,2009,14795
에스토니아,2010,14784
에스토니아,2011,17624
에스토니아,2012,17534
에스토니아,2013,19174
에스토니아,2014,20367
에스토니아,2015,17522
에스토니아,2016,18437
에스토니아,2017,20408
에스토니아,2018,23159
에스토니아,2019,23718
에스토니아,2020,23312
핀란드,2000,24285
핀란드,2001,24946
핀란드,2002,26870
핀란드,2003,32855
핀란드,2004,37703
핀란드,2005,39040
핀란드,2006,41188
핀란드,2007,48415
핀란드,2008,53554
핀란드,2009,47294
핀란드,2010,46460
핀란드,2011,51082
핀란드,2012,47711
핀란드,2013,49878
핀란드,2014,50260
핀란드,2015,42785
핀란드,2016,43784
핀란드,2017,46297
