국가별,시점,국민부담률
아시아,2000,
아시아,2001,
아시아,2002,
아시아,2003,
아시아,2004,
아시아,2005,
아시아,2006,
아시아,2007,
아시아,2008,
아시아,2009,
아시아,2010,
아시아,2011,
아시아,2012,
아시아,2013,
아시아,2014,
아시아,2015,
아시아,2016,
아시아,2017,
아시아,2018,
아시아,2019,
한국,2000,20.9
한국,2001,21.2
한국,2002,21.3
한국,2003,22
한국,2004,21.2
한국,2005,21.7
한국,2006,22.6
한국,2007,23.7
한국,2008,23.6
한국,2009,22.7
한국,2010,22.4
한국,2011,23.2
한국,2012,23.7
한국,2013,23.1
한국,2014,23.4
한국,2015,23.7
한국,2016,24.7
한국,2017,25.4
한국,2018,26.8
한국,2019,27.4
이스라엘,2000,34.8
이스라엘,2001,34.7
이스라엘,2002,33.9
이스라엘,2003,33.2
이스라엘,2004,33.3
이스라엘,2005,33.7
이스라엘,2006,34.2
이스라엘,2007,34.2
이스라엘,2008,31.9
이스라엘,2009,29.8
이스라엘,2010,30.7
이스라엘,2011,31
이스라엘,2012,30.1
이스라엘,2013,30.8
이스라엘,2014,31
이스라엘,2015,31.2
이스라엘,2016,31.2
이스라엘,2017,32.5
이스라엘,2018,30.9
이스라엘,2019,30.5
일본,2000,25.8
일본,2001,25.9
일본,2002,24.9
일본,2003,24.5
일본,2004,25.2
일본,2005,26.2
일본,2006,27
일본,2007,27.5
일본,2008,27.4
일본,2009,26
일본,2010,26.5
일본,2011,27.5
일본,2012,28.2
일본,2013,28.9
일본,2014,30.3
일본,2015,30.7
일본,2016,30.7
일본,2017,31.4
일본,2018,32
터키,2000,23.5
터키,2001,25.4
터키,2002,23.8
터키,2003,25
터키,2004,23.1
터키,2005,23.1
터키,2006,23.4
터키,2007,22.9
터키,2008,23
터키,2009,23.3
터키,2010,24.7
터키,2011,25.7
터키,2012,24.8
터키,2013,25.2
터키,2014,24.5
터키,2015,25
터키,2016,25.1
터키,2017,24.7
터키,2018,24
터키,2019,23.1
북아메리카,2000,
북아메리카,2001,
북아메리카,2002,
북아메리카,2003,
북아메리카,2004,
북아메리카,2005,
북아메리카,2006,
북아메리카,2007,
북아메리카,2008,
북아메리카,2009,
북아메리카,2010,
북아메리카,2011,
북아메리카,2012,
북아메리카,2013,
북아메리카,2014,
북아메리카,2015,
북아메리카,2016,
북아메리카,2017,
북아메리카,2018,
북아메리카,2019,
캐나다,2000,34.7
캐나다,2001,34.1
캐나다,2002,33.1
캐나다,2003,32.7
캐나다,2004,32.7
캐나다,2005,32.7
캐나다,2006,32.7
캐나다,2007,32.5
캐나다,2008,31.2
캐나다,2009,32.3
캐나다,2010,31
캐나다,2011,30.8
캐나다,2012,31.2
캐나다,2013,31.1
캐나다,2014,31.3
캐나다,2015,32.8
캐나다,2016,33.3
캐나다,2017,33.1
캐나다,2018,33.2
캐나다,2019,33.5
멕시코,2000,11.5
멕시코,2001,12.2
멕시코,2002,12.6
멕시코,2003,12.7
멕시코,2004,11.6
멕시코,2005,11.4
멕시코,2006,11.6
멕시코,2007,12
멕시코,2008,12.6
멕시코,2009,12.5
멕시코,2010,12.8
멕시코,2011,12.8
멕시코,2012,12.6
멕시코,2013,13.3
멕시코,2014,13.7
멕시코,2015,15.9
멕시코,2016,16.6
멕시코,2017,16.1
멕시코,2018,16.2
멕시코,2019,16.5
미국,2000,28.3
미국,2001,27.3
미국,2002,25
미국,2003,24.5
미국,2004,24.8
미국,2005,26.1
미국,2006,26.8
미국,2007,26.8
미국,2008,25.7
미국,2009,23
미국,2010,23.5
미국,2011,23.8
미국,2012,24
미국,2013,25.6
미국,2014,25.9
미국,2015,26.2
미국,2016,25.8
미국,2017,26.7
미국,2018,24.4
미국,2019,24.5
남아메리카,2000,
남아메리카,2001,
남아메리카,2002,
남아메리카,2003,
남아메리카,2004,
남아메리카,2005,
남아메리카,2006,
남아메리카,2007,
남아메리카,2008,
남아메리카,2009,
남아메리카,2010,
남아메리카,2011,
남아메리카,2012,
남아메리카,2013,
남아메리카,2014,
남아메리카,2015,
남아메리카,2016,
남아메리카,2017,
남아메리카,2018,
남아메리카,2019,
칠레,2000,18.8
칠레,2001,19
칠레,2002,19.1
칠레,2003,18.8
칠레,2004,19.1
칠레,2005,20.7
칠레,2006,22
칠레,2007,22.7
칠레,2008,21.4
칠레,2009,17.3
칠레,2010,19.6
칠레,2011,21.1
칠레,2012,21.3
칠레,2013,19.9
칠레,2014,19.6
칠레,2015,20.4
칠레,2016,20.1
칠레,2017,20.2
칠레,2018,21.1
칠레,2019,20.7
콜롬비아,2000,15.7
콜롬비아,2001,17.3
콜롬비아,2002,17.2
콜롬비아,2003,17.3
콜롬비아,2004,18
콜롬비아,2005,18.3
콜롬비아,2006,19.3
콜롬비아,2007,19.3
콜롬비아,2008,19
콜롬비아,2009,18.8
콜롬비아,2010,18.1
콜롬비아,2011,18.9
콜롬비아,2012,19.7
콜롬비아,2013,20
콜롬비아,2014,19.6
