국가별,시점,무역의존도_수출,무역의존도_수입
아시아,2001,,
아시아,2002,,
아시아,2003,,
아시아,2004,,
아시아,2005,,
아시아,2006,,
아시아,2007,,
아시아,2008,,
아시아,2009,,
아시아,2010,,
아시아,2011,,
아시아,2012,,
아시아,2013,,
아시아,2014,,
아시아,2015,,
아시아,2016,,
아시아,2017,,
아시아,2018,,
아시아,2019,,
아시아,2020,,
한국,2001,27.47,25.76
한국,2002,25.91,24.26
한국,2003,27.59,25.45
한국,2004,31.99,28.28
한국,2005,30.43,27.95
한국,2006,30.93,29.4
한국,2007,31.68,30.43
한국,2008,40.31,41.58
한국,2009,38.5,34.21
한국,2010,40.77,37.17
한국,2011,44.3,41.84
한국,2012,42.87,40.66
한국,2013,40.83,37.62
한국,2014,38.59,35.41
한국,2015,35.95,29.79
한국,2016,33.03,27.08
한국,2017,35.34,29.48
한국,2018,35.06,31.02
한국,2019,32.84,30.49
한국,2020,31.28,28.55
이스라엘,2001,19.62,24.95
이스라엘,2002,21.11,26.81
이스라엘,2003,21.89,26.43
이스라엘,2004,24.91,29.73
이스라엘,2005,25.66,31.16
이스라엘,2006,25.76,30.7
이스라엘,2007,25.65,31.34
이스라엘,2008,23.7,29.8
이스라엘,2009,20.24,22.58
이스라엘,2010,21.69,25.03
이스라엘,2011,22.25,27.84
이스라엘,2012,20.96,28.06
이스라엘,2013,19.42,24.28
이스라엘,2014,18.6,23.05
이스라엘,2015,17.84,20.44
이스라엘,2016,16.38,20.42
이스라엘,2017,15.05,19.28
이스라엘,2018,14.63,20.45
이스라엘,2019,13.15,19.18
이스라엘,2020,12.28,17.37
일본,2001,9.37,8.11
일본,2002,10.13,8.2
일본,2003,10.61,8.62
일본,2004,11.75,9.45
일본,2005,12.51,10.85
일본,2006,14.28,12.78
일본,2007,15.82,13.78
일본,2008,15.52,15.14
일본,2009,11.1,10.55
일본,2010,13.5,12.18
일본,2011,13.36,13.89
일본,2012,12.87,14.28
일본,2013,13.86,16.14
일본,2014,14.23,16.75
일본,2015,14.23,14.76
일본,2016,13.1,12.34
일본,2017,14.34,13.81
일본,2018,14.9,15.11
일본,2019,13.93,14.24
터키,2001,15.53,20.55
터키,2002,14.97,21.46
터키,2003,14.98,22.08
터키,2004,15.46,23.91
터키,2005,14.56,23.13
터키,2006,15.44,25.17
터키,2007,15.8,25.07
터키,2008,17.19,26.2
터키,2009,15.78,21.75
터키,2010,14.67,23.88
터키,2011,16.13,28.74
터키,2012,17.36,26.95
터키,2013,16.88,27.21
터키,2014,17.75,26.72
터키,2015,17.49,24.68
터키,2016,17.18,23.24
터키,2017,19.17,27.78
터키,2018,22.78,29.61
터키,2019,23.77,27.61
터키,2020,23.58,30.52
북아메리카,2001,,
북아메리카,2002,,
북아메리카,2003,,
북아메리카,2004,,
북아메리카,2005,,
북아메리카,2006,,
북아메리카,2007,,
북아메리카,2008,,
북아메리카,2009,,
북아메리카,2010,,
북아메리카,2011,,
북아메리카,2012,,
북아메리카,2013,,
북아메리카,2014,,
북아메리카,2015,,
북아메리카,2016,,
북아메리카,2017,,
북아메리카,2018,,
북아메리카,2019,,
북아메리카,2020,,
캐나다,2001,36.65,30.56
캐나다,2002,34.51,29.84
캐나다,2003,31.7,27.32
캐나다,2004,32.01,27.21
캐나다,2005,31.6,27.29
캐나다,2006,30.2,27.04
캐나다,2007,29.32,26.45
캐나다,2008,29.67,26.91
캐나다,2009,23.49,23.93
캐나다,2010,24.26,24.84
캐나다,2011,25.73,25.71
캐나다,2012,25.26,25.99
캐나다,2013,25.2,25.62
캐나다,2014,26.55,26.3
캐나다,2015,26.35,27.59
캐나다,2016,25.79,27.04
캐나다,2017,25.72,26.88
캐나다,2018,26.34,27.22
캐나다,2019,25.88,26.55
캐나다,2020,23.86,25.54
멕시코,2001,20.99,2.5
멕시코,2002,20.87,2.37
