국가별,시점,생산자물가지수
아시아,2000,
아시아,2001,
아시아,2002,
아시아,2003,
아시아,2004,
아시아,2005,
아시아,2006,
아시아,2007,
아시아,2008,
아시아,2009,
아시아,2010,
아시아,2011,
아시아,2012,
아시아,2013,
아시아,2014,
아시아,2015,
아시아,2016,
아시아,2017,
아시아,2018,
아시아,2019,
아시아,2020,
한국,2000,78.4
한국,2001,78
한국,2002,77.8
한국,2003,79.5
한국,2004,84.3
한국,2005,86.1
한국,2006,86.9
한국,2007,88.1
한국,2008,95.6
한국,2009,95.4
한국,2010,99.1
한국,2011,105.7
한국,2012,106.4
한국,2013,104.7
한국,2014,104.2
한국,2015,100
한국,2016,98.2
한국,2017,101.6
한국,2018,103.5
한국,2019,103.5
한국,2020,103
이스라엘,2000,70.7
이스라엘,2001,70.6
이스라엘,2002,73.3
이스라엘,2003,76.5
이스라엘,2004,80.7
이스라엘,2005,85.7
이스라엘,2006,90.6
이스라엘,2007,93.7
이스라엘,2008,102.7
이스라엘,2009,96.2
이스라엘,2010,100
이스라엘,2011,107.8
이스라엘,2012,112.4
이스라엘,2013,112.9
이스라엘,2014,111.4
이스라엘,2015,104.8
이스라엘,2016,101
이스라엘,2017,102.5
이스라엘,2018,105.9
이스라엘,2019,104.7
이스라엘,2020,99.5
일본,2000,99.5
일본,2001,97.3
일본,2002,95.2
일본,2003,94.4
일본,2004,95.6
일본,2005,97.2
일본,2006,99.3
일본,2007,101.1
일본,2008,105.7
일본,2009,100.1
일본,2010,100
일본,2011,101.4
일본,2012,100.6
일본,2013,101.8
일본,2014,105.1
일본,2015,102.7
일본,2016,99.1
일본,2017,101.4
일본,2018,103.9
터키,2000,19
터키,2001,30.7
터키,2002,46.1
터키,2003,57.8
터키,2004,66.2
터키,2005,70.1
터키,2006,76
터키,2007,80.8
터키,2008,91
터키,2009,92.2
터키,2010,100
터키,2011,111.1
터키,2012,117.9
터키,2013,123.1
터키,2014,135.8
터키,2015,142.9
터키,2016,149.1
터키,2017,172.7
터키,2018,219.3
터키,2019,257.8
북아메리카,2000,
북아메리카,2001,
북아메리카,2002,
북아메리카,2003,
북아메리카,2004,
북아메리카,2005,
북아메리카,2006,
북아메리카,2007,
북아메리카,2008,
북아메리카,2009,
북아메리카,2010,
북아메리카,2011,
북아메리카,2012,
북아메리카,2013,
북아메리카,2014,
북아메리카,2015,
북아메리카,2016,
북아메리카,2017,
북아메리카,2018,
북아메리카,2019,
북아메리카,2020,
캐나다,2000,90
캐나다,2001,90.9
캐나다,2002,90.9
캐나다,2003,89.8
캐나다,2004,92.7
캐나다,2005,94.2
캐나다,2006,96.4
캐나다,2007,97.8
캐나다,2008,102.1
캐나다,2009,98.5
캐나다,2010,100
캐나다,2011,106.9
캐나다,2012,108.1
캐나다,2013,108.6
캐나다,2014,111.3
캐나다,2015,110.3
캐나다,2016,110.1
캐나다,2017,113.5
캐나다,2018,117.9
멕시코,2000,57.7
멕시코,2001,60.6
멕시코,2002,63.7
멕시코,2003,68.4
멕시코,2004,74.3
멕시코,2005,77.8
멕시코,2006,82.1
멕시코,2007,85.8
멕시코,2008,91.9
멕시코,2009,96
멕시코,2010,100
멕시코,2011,105.2
멕시코,2012,110.1
멕시코,2013,111.6
멕시코,2014,114.6
멕시코,2015,117.9
멕시코,2016,124.6
멕시코,2017,133.2
멕시코,2018,140.5
미국,2000,71.8
미국,2001,72.6
미국,2002,71
미국,2003,74.8
미국,2004,79.4
미국,2005,85.2
미국,2006,89.2
미국,2007,93.5
미국,2008,102.6
미국,2009,93.6
미국,2010,100
미국,2011,103.9
미국,2012,105.8
미국,2013,107.2
미국,2014,108.9
미국,2015,108
미국,2016,108.4
미국,2017,111
미국,2018,114.2
미국,2019,116.1
남아메리카,2000,
남아메리카,2001,
남아메리카,2002,
남아메리카,2003,
남아메리카,2004,
남아메리카,2005,
남아메리카,2006,
남아메리카,2007,
남아메리카,2008,
남아메리카,2009,
남아메리카,2010,
남아메리카,2011,
남아메리카,2012,
남아메리카,2013,
남아메리카,2014,
남아메리카,2015,
남아메리카,2016,
남아메리카,2017,
남아메리카,2018,
남아메리카,2019,
남아메리카,2020,
칠레,2009,81.3
칠레,2010,100
칠레,2011,112.2
칠레,2012,104.8
칠레,2013,100.7
칠레,2014,92.9
칠레,2015,91.8
칠레,2016,91.1
칠레,2017,100
칠레,2018,104.9
칠레,2019,106.9
콜롬비아,2000,64.3
콜롬비아,2001,70.4
콜롬비아,2002,74.1
콜롬비아,2003,80.9
콜롬비아,2004,85
콜롬비아,2005,87.7
콜롬비아,2006,91.4
콜롬비아,2007,92.3
콜롬비아,2008,99
콜롬비아,2009,100.9
콜롬비아,2010,100
콜롬비아,2011,108.8
콜롬비아,2012,108.7
콜롬비아,2013,107.3
콜롬비아,2014,110.5
콜롬비아,2015,114.8
콜롬비아,2016,121
콜롬비아,2017,122
콜롬비아,2018,128.3
코스타리카,2000,33.3
코스타리카,2001,36.2
