국가별,시점,소비자물가지수
아시아,2000,
아시아,2001,
아시아,2002,
아시아,2003,
아시아,2004,
아시아,2005,
아시아,2006,
아시아,2007,
아시아,2008,
아시아,2009,
아시아,2010,
아시아,2011,
아시아,2012,
아시아,2013,
아시아,2014,
아시아,2015,
아시아,2016,
아시아,2017,
아시아,2018,
아시아,2019,
아시아,2020,
한국,2000,66.6
한국,2001,69.3
한국,2002,71.2
한국,2003,73.7
한국,2004,76.3
한국,2005,78.4
한국,2006,80.2
한국,2007,82.2
한국,2008,86.1
한국,2009,88.5
한국,2010,91.1
한국,2011,94.7
한국,2012,96.8
한국,2013,98
한국,2014,99.3
한국,2015,100
한국,2016,101
한국,2017,102.9
한국,2018,104.5
한국,2019,104.9
한국,2020,105.4
이스라엘,2000,80.8
이스라엘,2001,81.8
이스라엘,2002,86.5
이스라엘,2003,87.1
이스라엘,2004,86.7
이스라엘,2005,87.9
이스라엘,2006,89.7
이스라엘,2007,90.1
이스라엘,2008,94.2
이스라엘,2009,97.4
이스라엘,2010,100
이스라엘,2011,103.5
이스라엘,2012,105.2
이스라엘,2013,106.9
이스라엘,2014,107.4
이스라엘,2015,106.7
이스라엘,2016,106.1
이스라엘,2017,106.4
이스라엘,2018,107.3
이스라엘,2019,108.2
이스라엘,2020,107.5
일본,2000,102.7
일본,2001,101.9
일본,2002,101
일본,2003,100.7
일본,2004,100.7
일본,2005,100.4
일본,2006,100.7
일본,2007,100.7
일본,2008,102.1
일본,2009,100.7
일본,2010,100
일본,2011,99.7
일본,2012,99.7
일본,2013,100
일본,2014,102.8
일본,2015,103.6
일본,2016,103.5
일본,2017,104
일본,2018,105
일본,2019,105.5
일본,2020,105.5
터키,2000,20.6
터키,2001,31.8
터키,2002,46.1
터키,2003,56.1
터키,2004,60.9
터키,2005,65.9
터키,2006,72.2
터키,2007,78.5
터키,2008,86.7
터키,2009,92.1
터키,2010,100
터키,2011,106.5
터키,2012,115.9
터키,2013,124.6
터키,2014,135.7
터키,2015,146.1
터키,2016,157.4
터키,2017,175
터키,2018,203.5
터키,2019,234.4
터키,2020,263.2
북아메리카,2000,
북아메리카,2001,
북아메리카,2002,
북아메리카,2003,
북아메리카,2004,
북아메리카,2005,
북아메리카,2006,
북아메리카,2007,
북아메리카,2008,
북아메리카,2009,
북아메리카,2010,
북아메리카,2011,
북아메리카,2012,
북아메리카,2013,
북아메리카,2014,
북아메리카,2015,
북아메리카,2016,
북아메리카,2017,
북아메리카,2018,
북아메리카,2019,
북아메리카,2020,
캐나다,2000,81.9
캐나다,2001,84
캐나다,2002,85.9
캐나다,2003,88.2
캐나다,2004,89.9
캐나다,2005,91.9
캐나다,2006,93.7
캐나다,2007,95.7
캐나다,2008,98
캐나다,2009,98.3
캐나다,2010,100
캐나다,2011,102.9
캐나다,2012,104.5
캐나다,2013,105.5
캐나다,2014,107.5
캐나다,2015,108.7
캐나다,2016,110.2
캐나다,2017,112
캐나다,2018,114.5
캐나다,2019,116.8
캐나다,2020,117.6
멕시코,2000,63.3
멕시코,2001,67.3
멕시코,2002,70.7
멕시코,2003,73.9
멕시코,2004,77.4
멕시코,2005,80.5
멕시코,2006,83.4
멕시코,2007,86.7
멕시코,2008,91.2
멕시코,2009,96
멕시코,2010,100
멕시코,2011,103.4
멕시코,2012,107.7
멕시코,2013,111.8
멕시코,2014,116.2
멕시코,2015,119.4
멕시코,2016,122.8
멕시코,2017,130.2
멕시코,2018,136.6
멕시코,2019,141.5
멕시코,2020,146.4
미국,2000,79
미국,2001,81.2
미국,2002,82.5
미국,2003,84.4
미국,2004,86.6
미국,2005,89.6
미국,2006,92.4
미국,2007,95.1
미국,2008,98.7
미국,2009,98.4
미국,2010,100
미국,2011,103.2
미국,2012,105.3
미국,2013,106.8
미국,2014,108.6
미국,2015,108.7
미국,2016,110.1
미국,2017,112.4
미국,2018,115.2
미국,2019,117.2
미국,2020,118.7
남아메리카,2000,
남아메리카,2001,
남아메리카,2002,
남아메리카,2003,
남아메리카,2004,
남아메리카,2005,
남아메리카,2006,
남아메리카,2007,
남아메리카,2008,
남아메리카,2009,
남아메리카,2010,
남아메리카,2011,
남아메리카,2012,
남아메리카,2013,
남아메리카,2014,
남아메리카,2015,
남아메리카,2016,
남아메리카,2017,
남아메리카,2018,
남아메리카,2019,
남아메리카,2020,
칠레,2000,73.7
칠레,2001,76.3
칠레,2002,78.2
칠레,2003,80.4
칠레,2004,81.2
칠레,2005,83.7
칠레,2006,86.6
칠레,2007,90.4
칠레,2008,98.3
칠레,2009,98.6
칠레,2010,100
칠레,2011,103.3
칠레,2012,106.4
칠레,2013,108.4
칠레,2014,113.5
칠레,2015,118.4
칠레,2016,122.9
칠레,2017,125.6
칠레,2018,128.6
칠레,2019,131.9
칠레,2020,135.9
콜롬비아,2000,58.2
콜롬비아,2001,62.9
콜롬비아,2002,66.8
콜롬비아,2003,71.6
콜롬비아,2004,75.8
콜롬비아,2005,79.7
