국가별,시점,수출,수입
아시아,2000,,
아시아,2001,,
아시아,2002,,
아시아,2003,,
아시아,2004,,
아시아,2005,,
아시아,2006,,
아시아,2007,,
아시아,2008,,
아시아,2009,,
아시아,2010,,
아시아,2011,,
아시아,2012,,
아시아,2013,,
아시아,2014,,
아시아,2015,,
아시아,2016,,
아시아,2017,,
아시아,2018,,
아시아,2019,,
아시아,2020,,
한국,2000,172268,160481
한국,2001,150439,141098
한국,2002,162471,152126
한국,2003,193817,178827
한국,2004,253845,224463
한국,2005,284419,261238
한국,2006,325465,309383
한국,2007,371489,356846
한국,2008,422007,435275
한국,2009,363534,323085
한국,2010,466384,425212
한국,2011,555214,524413
한국,2012,547870,519584
한국,2013,559632,515586
한국,2014,572665,525515
한국,2015,526757,436499
한국,2016,495426,406193
한국,2017,573694,478478
한국,2018,604860,535202
한국,2019,542233,503343
한국,2020,512498,467633
이스라엘,2000,28335,35214
이스라엘,2001,25719,32697
이스라엘,2002,25632,32548
이스라엘,2003,27875,33657
이스라엘,2004,33804,40347
이스라엘,2005,36608,44453
이스라엘,2006,39714,47333
이스라엘,2007,45924,56115
이스라엘,2008,51276,64474
이스라엘,2009,42007,46863
이스라엘,2010,50766,58575
이스라엘,2011,58065,72663
이스라엘,2012,53892,72168
이스라엘,2013,56844,71071
이스라엘,2014,57657,71464
이스라엘,2015,53536,61340
이스라엘,2016,52175,65048
이스라엘,2017,53063,68006
이스라엘,2018,54211,75741
이스라엘,2019,51899,75697
이스라엘,2020,49372,69810
일본,2000,479296,379727
일본,2001,403241,349201
일본,2002,416726,337598
일본,2003,471816,383299
일본,2004,565673,455189
일본,2005,594860,515809
일본,2006,646737,579042
일본,2007,714211,622135
일본,2008,782049,762590
일본,2009,580719,551960
일본,2010,769773,694052
일본,2011,822564,854998
일본,2012,798620,886036
일본,2013,714613,832343
일본,2014,690202,812207
일본,2015,624787,647982
일본,2016,644899,607601
일본,2017,698131,671921
일본,2018,738195,748526
일본,2019,705671,721078
일본,2020,641341,634430
터키,2000,27701,54367
터키,2001,31331,41454
터키,2002,35974,51551
터키,2003,47125,69453
터키,2004,63196,97779
터키,2005,73715,117115
터키,2006,86003,140234
터키,2007,107654,170837
터키,2008,132446,201851
터키,2009,102471,141186
터키,2010,114022,185531
터키,2011,135288,241076
터키,2012,152905,237310
터키,2013,161698,260639
터키,2014,166658,250916
터키,2015,151158,213281
터키,2016,149390,202089
터키,2017,164671,238662
터키,2018,177328,230447
터키,2019,181021,210261
터키,2020,169835,219758
북아메리카,2000,,
북아메리카,2001,,
북아메리카,2002,,
북아메리카,2003,,
북아메리카,2004,,
북아메리카,2005,,
북아메리카,2006,,
북아메리카,2007,,
북아메리카,2008,,
북아메리카,2009,,
북아메리카,2010,,
북아메리카,2011,,
북아메리카,2012,,
북아메리카,2013,,
북아메리카,2014,,
북아메리카,2015,,
북아메리카,2016,,
북아메리카,2017,,
북아메리카,2018,,
북아메리카,2019,,
북아메리카,2020,,
캐나다,2000,288057,243646
캐나다,2001,270824,225847
캐나다,2002,262476,226952
캐나다,2003,283926,244646
캐나다,2004,328673,279361
캐나다,2005,370734,320129
캐나다,2006,398470,356714
캐나다,2007,430613,388490
캐나다,2008,460709,417928
캐나다,2009,322965,329000
캐나다,2010,392346,401709
캐나다,2011,461441,461006
캐나다,2012,461876,475105
캐나다,2013,465271,473160
캐나다,2014,479377,475000
캐나다,2015,410200,429490
캐나다,2016,394055,413106
캐나다,2017,424216,443282
캐나다,2018,453475,468729
캐나다,2019,450805,462392
캐나다,2020,392129,419688
멕시코,2000,166072,19319
멕시코,2001,158821,18884
멕시코,2002,161124,18294
멕시코,2003,164846,16545
멕시코,2004,187956,18246
멕시코,2005,214074,21351
멕시코,2006,250015,24588
멕시코,2007,271881,27023
멕시코,2008,291856,29448
멕시코,2009,229515,18239
멕시코,2010,298384,25085
멕시코,2011,349730,29724
멕시코,2012,370289,29590
멕시코,2013,379963,31366
멕시코,2014,397280,31617
멕시코,2015,381170,26214
멕시코,2016,373175,20753
멕시코,2017,408301,22325
멕시코,2018,449221,24145
멕시코,2019,459597,-
멕시코,2020,416235,-
미국,2000,781918,1259297
미국,2001,729100,1179177
미국,2002,693103,1200227
미국,2003,724771,1303050
미국,2004,814875,1525516
미국,2005,901082,1735061
미국,2006,1025967,1918077
미국,2007,1148199,2020403
미국,2008,1287442,2169487
미국,2009,1056000,1559700
미국,2010,1278300,1913800
미국,2011,1482400,2208000
미국,2012,1545800,2276000
미국,2013,1578500,2268100
미국,2014,1621700,2356100
미국,2015,1503400,2248800
미국,2016,1451500,2186800
미국,2017,1547200,2339600
미국,2018,1665700,2537700
미국,2019,1643100,2497500
남아메리카,2000,,
남아메리카,2001,,
남아메리카,2002,,
남아메리카,2003,,
남아메리카,2004,,
남아메리카,2005,,
남아메리카,2006,,
남아메리카,2007,,
남아메리카,2008,,
남아메리카,2009,,
남아메리카,2010,,
남아메리카,2011,,
