국가별,시점,실업률
한국,2000,4.4
한국,2001,4
한국,2002,3.3
한국,2003,3.6
한국,2004,3.7
한국,2005,3.7
한국,2006,3.5
한국,2007,3.2
한국,2008,3.2
한국,2009,3.6
한국,2010,3.7
한국,2011,3.4
한국,2012,3.2
한국,2013,3.1
한국,2014,3.5
한국,2015,3.6
한국,2016,3.7
한국,2017,3.7
한국,2018,3.8
한국,2019,3.8
한국,2020,4
이스라엘,2000,11.1
이스라엘,2001,11.8
이스라엘,2002,12.9
이스라엘,2003,13.5
이스라엘,2004,13
이스라엘,2005,11.3
이스라엘,2006,10.7
이스라엘,2007,9.4
이스라엘,2008,7.7
이스라엘,2009,9.5
이스라엘,2010,8.5
이스라엘,2011,7.1
이스라엘,2012,6.9
이스라엘,2013,6.2
이스라엘,2014,5.9
이스라엘,2015,5.3
이스라엘,2016,4.8
이스라엘,2017,4.2
이스라엘,2018,4
이스라엘,2019,3.8
이스라엘,2020,4.3
일본,2000,4.8
일본,2001,5
일본,2002,5.4
일본,2003,5.3
일본,2004,4.7
일본,2005,4.5
일본,2006,4.2
일본,2007,3.9
일본,2008,4
일본,2009,5.1
일본,2010,5.1
일본,2011,4.6
일본,2012,4.4
일본,2013,4
일본,2014,3.6
일본,2015,3.4
일본,2016,3.1
일본,2017,2.8
일본,2018,2.4
일본,2019,2.4
일본,2020,2.8
터키,2000,6.5
터키,2001,8.4
터키,2002,10.4
터키,2003,10.5
터키,2004,10.8
터키,2005,10.6
터키,2006,8.7
터키,2007,8.9
터키,2008,9.7
터키,2009,12.6
터키,2010,10.7
터키,2011,8.8
터키,2012,8.2
터키,2013,8.7
터키,2014,9.9
터키,2015,10.2
터키,2016,10.8
터키,2017,10.8
터키,2018,10.9
터키,2019,13.7
터키,2020,13.1
캐나다,2000,6.8
캐나다,2001,7.2
캐나다,2002,7.7
캐나다,2003,7.6
캐나다,2004,7.2
캐나다,2005,6.8
캐나다,2006,6.3
캐나다,2007,6
캐나다,2008,6.1
캐나다,2009,8.3
캐나다,2010,8.1
캐나다,2011,7.5
캐나다,2012,7.3
캐나다,2013,7.1
캐나다,2014,6.9
캐나다,2015,6.9
캐나다,2016,7
캐나다,2017,6.3
캐나다,2018,5.8
캐나다,2019,5.7
캐나다,2020,9.5
멕시코,2000,2.7
멕시코,2001,2.6
멕시코,2002,3
멕시코,2003,3.5
멕시코,2004,3.9
멕시코,2005,3.6
멕시코,2006,3.6
멕시코,2007,3.6
멕시코,2008,3.9
멕시코,2009,5.4
멕시코,2010,5.3
멕시코,2011,5.2
멕시코,2012,4.9
멕시코,2013,4.9
멕시코,2014,4.8
멕시코,2015,4.3
멕시코,2016,3.9
멕시코,2017,3.4
멕시코,2018,3.3
멕시코,2019,3.5
멕시코,2020,4.5
미국,2000,4
미국,2001,4.7
미국,2002,5.8
미국,2003,6
미국,2004,5.5
미국,2005,5.1
미국,2006,4.6
미국,2007,4.6
미국,2008,5.8
미국,2009,9.3
미국,2010,9.6
미국,2011,9
미국,2012,8.1
미국,2013,7.4
미국,2014,6.2
미국,2015,5.3
미국,2016,4.9
미국,2017,4.4
미국,2018,3.9
미국,2019,3.7
미국,2020,8.1
칠레,2000,10.5
칠레,2001,10.4
칠레,2002,10.2
칠레,2003,9.8
칠레,2004,10.2
