국가별,시점,외환보유액
아시아,2000,
아시아,2001,
아시아,2002,
아시아,2003,
아시아,2004,
아시아,2005,
아시아,2006,
아시아,2007,
아시아,2008,
아시아,2009,
아시아,2010,
아시아,2011,
아시아,2012,
아시아,2013,
아시아,2014,
아시아,2015,
아시아,2016,
아시아,2017,
아시아,2018,
아시아,2019,
아시아,2020,
한국,2000,96198
한국,2001,102821
한국,2002,121413
한국,2003,155352
한국,2004,199066
한국,2005,210391
한국,2006,238956
한국,2007,262224
한국,2008,201223
한국,2009,269995
한국,2010,291571
한국,2011,306402
한국,2012,326968
한국,2013,346460
한국,2014,363593
한국,2015,367962
한국,2016,371102
한국,2017,389267
한국,2018,403694
한국,2019,408816
한국,2020,443098
이스라엘,2000,23281
이스라엘,2001,23379
이스라엘,2002,24083
이스라엘,2003,26315
이스라엘,2004,27094
이스라엘,2005,28059
이스라엘,2006,29153
이스라엘,2007,28519
이스라엘,2008,42513
이스라엘,2009,60611
이스라엘,2010,70907
이스라엘,2011,74874
이스라엘,2012,75908
이스라엘,2013,81786
이스라엘,2014,86101
이스라엘,2015,90575
이스라엘,2016,95446
이스라엘,2017,113010
이스라엘,2018,115266
이스라엘,2019,126008
이스라엘,2020,173292
일본,2000,361639
일본,2001,401958
일본,2002,469728
일본,2003,673530
일본,2004,844667
일본,2005,846896
일본,2006,895321
일본,2007,973364
일본,2008,1030646
일본,2009,1052061
일본,2010,1104680
일본,2011,1295838
일본,2012,1268086
일본,2013,1266778
일본,2014,1260514
일본,2015,1233153
일본,2016,1216843
일본,2017,1264141
일본,2018,1270466
일본,2019,1322443
일본,2020,1390809
터키,2000,23498
터키,2001,19871
터키,2002,28101
터키,2003,35549
터키,2004,37252
터키,2005,52491
터키,2006,63265
터키,2007,76506
터키,2008,73657
터키,2009,74995
터키,2010,85971
터키,2011,88210
터키,2012,119177
터키,2013,131004
터키,2014,127307
터키,2015,110527
터키,2016,104971
터키,2017,107657
터키,2018,92997
터키,2019,105620
터키,2020,93199
북아메리카,2000,
북아메리카,2001,
북아메리카,2002,
북아메리카,2003,
북아메리카,2004,
북아메리카,2005,
북아메리카,2006,
북아메리카,2007,
북아메리카,2008,
북아메리카,2009,
북아메리카,2010,
북아메리카,2011,
북아메리카,2012,
북아메리카,2013,
북아메리카,2014,
북아메리카,2015,
북아메리카,2016,
북아메리카,2017,
북아메리카,2018,
북아메리카,2019,
북아메리카,2020,
캐나다,2000,32425
캐나다,2001,34253
캐나다,2002,37189
캐나다,2003,36267
캐나다,2004,34477
캐나다,2005,33018
캐나다,2006,35063
캐나다,2007,41082
캐나다,2008,43873
캐나다,2009,54357
캐나다,2010,57151
캐나다,2011,65819
캐나다,2012,68546
캐나다,2013,71936
캐나다,2014,74700
캐나다,2015,79753
캐나다,2016,82718
캐나다,2017,86678
캐나다,2018,83926
캐나다,2019,85297
캐나다,2020,90428
멕시코,2000,35577
멕시코,2001,44805
멕시코,2002,50672
멕시코,2003,59026
멕시코,2004,64202
멕시코,2005,74110
멕시코,2006,76329
멕시코,2007,87208
멕시코,2008,95298
멕시코,2009,99892
멕시코,2010,120587
멕시코,2011,149208
멕시코,2012,167050
멕시코,2013,180200
멕시코,2014,195682
멕시코,2015,177597
멕시코,2016,178025
멕시코,2017,175448
멕시코,2018,176380
멕시코,2019,183024
멕시코,2020,199056
미국,2000,67646
미국,2001,68679
미국,2002,79005
미국,2003,85937
미국,2004,86935
미국,2005,65127
미국,2006,65895
미국,2007,70565
미국,2008,77648
미국,2009,130760
미국,2010,132433
미국,2011,147953
미국,2012,150175
미국,2013,144575
미국,2014,130090
미국,2015,117581
미국,2016,117332
미국,2017,123293
미국,2018,125798
미국,2019,129479
미국,2020,144890
남아메리카,2000,
남아메리카,2001,
남아메리카,2002,
남아메리카,2003,
남아메리카,2004,
남아메리카,2005,
남아메리카,2006,
남아메리카,2007,
남아메리카,2008,
남아메리카,2009,
남아메리카,2010,
남아메리카,2011,
남아메리카,2012,
남아메리카,2013,
남아메리카,2014,
남아메리카,2015,
남아메리카,2016,
남아메리카,2017,
남아메리카,2018,
남아메리카,2019,
남아메리카,2020,
칠레,2000,15353
칠레,2001,14398
칠레,2002,15343
칠레,2003,15842
칠레,2004,15997
칠레,2005,16933
칠레,2006,19396
칠레,2007,16842
칠레,2008,23078
칠레,2009,25292
칠레,2010,27828
칠레,2011,41944
칠레,2012,41649
칠레,2013,41093
칠레,2014,40447
칠레,2015,38641
칠레,2016,40493
칠레,2017,38982
칠레,2018,39859
칠레,2019,40656
칠레,2020,39166
콜롬비아,2000,9005
콜롬비아,2001,10245
콜롬비아,2002,10844
콜롬비아,2003,10920
콜롬비아,2004,13537
콜롬비아,2005,14955
콜롬비아,2006,15437
콜롬비아,2007,20952
콜롬비아,2008,23670
콜롬비아,2009,24991
콜롬비아,2010,28077
콜롬비아,2011,31910
콜롬비아,2012,36998
콜롬비아,2013,43158
콜롬비아,2014,46807
콜롬비아,2015,46223
