국가별,시점,인당_국민총소득
아시아,2000,
아시아,2001,
아시아,2002,
아시아,2003,
아시아,2004,
아시아,2005,
아시아,2006,
아시아,2007,
아시아,2008,
아시아,2009,
아시아,2010,
아시아,2011,
아시아,2012,
아시아,2013,
아시아,2014,
아시아,2015,
아시아,2016,
아시아,2017,
아시아,2018,
아시아,2019,
아시아,2020,
한국,2000,12179
한국,2001,11484
한국,2002,13115
한국,2003,14618
한국,2004,16477
한국,2005,19262
한국,2006,21664
한국,2007,24027
한국,2008,21345
한국,2009,19122
한국,2010,23118
한국,2011,25256
한국,2012,25724
한국,2013,27351
한국,2014,29384
한국,2015,28814
한국,2016,29394
한국,2017,31734
한국,2018,33564
한국,2019,32204
한국,2020,31881
이스라엘,2000,20930
이스라엘,2001,20727
이스라엘,2002,18964
이스라엘,2003,19550
이스라엘,2004,20601
이스라엘,2005,21659
이스라엘,2006,22983
이스라엘,2007,26117
이스라엘,2008,30214
이스라엘,2009,28171
이스라엘,2010,31261
이스라엘,2011,34391
이스라엘,2012,32902
이스라엘,2013,37072
이스라엘,2014,39236
이스라엘,2015,37294
이스라엘,2016,38936
이스라엘,2017,42562
이스라엘,2018,44167
이스라엘,2019,46105
일본,2000,38874
일본,2001,34210
일본,2002,32632
일본,2003,35264
일본,2004,38264
일본,2005,37861
일본,2006,36201
일본,2007,36195
일본,2008,40221
일본,2009,41688
일본,2010,45490
일본,2011,49276
일본,2012,49597
일본,2013,41529
일본,2014,39206
일본,2015,35614
일본,2016,39825
일본,2017,39531
일본,2018,40373
일본,2019,41403
터키,2000,4274
터키,2001,3065
터키,2002,3618
터키,2003,4676
터키,2004,6018
터키,2005,7377
터키,2006,8015
터키,2007,9702
터키,2008,10833
터키,2009,8996
터키,2010,10653
터키,2011,11322
터키,2012,11707
터키,2013,12501
터키,2014,12052
터키,2015,10883
터키,2016,10780
터키,2017,10453
터키,2018,9308
터키,2019,8973
터키,2020,8435
북아메리카,2000,
북아메리카,2001,
북아메리카,2002,
북아메리카,2003,
북아메리카,2004,
북아메리카,2005,
북아메리카,2006,
북아메리카,2007,
북아메리카,2008,
북아메리카,2009,
북아메리카,2010,
북아메리카,2011,
북아메리카,2012,
북아메리카,2013,
북아메리카,2014,
북아메리카,2015,
북아메리카,2016,
북아메리카,2017,
북아메리카,2018,
북아메리카,2019,
북아메리카,2020,
캐나다,2000,23710
캐나다,2001,23257
캐나다,2002,23780
캐나다,2003,27741
캐나다,2004,31575
캐나다,2005,35727
캐나다,2006,39902
캐나다,2007,43947
캐나다,2008,45899
캐나다,2009,40033
캐나다,2010,46427
캐나다,2011,50941
캐나다,2012,51427
캐나다,2013,51520
캐나다,2014,49814
캐나다,2015,42542
캐나다,2016,41484
캐나다,2017,44329
캐나다,2018,45659
캐나다,2019,45956
캐나다,2020,43024
멕시코,2000,7004
멕시코,2001,7405
멕시코,2002,7462
멕시코,2003,6950
멕시코,2004,7373
멕시코,2005,8105
멕시코,2006,8929
멕시코,2007,9481
멕시코,2008,9875
멕시코,2009,7869
멕시코,2010,9161
멕시코,2011,10041
멕시코,2012,10044
멕시코,2013,10413
멕시코,2014,10661
멕시코,2015,9368
멕시코,2016,8510
멕시코,2017,9047
멕시코,2018,9425
멕시코,2019,9660
멕시코,2020,8054
미국,2000,36859
미국,2001,37749
미국,2002,38480
미국,2003,39784
미국,2004,42121
미국,2005,44636
미국,2006,47261
미국,2007,48380
미국,2008,48387
미국,2009,47015
미국,2010,48955
미국,2011,50823
미국,2012,53079
미국,2013,54275
미국,2014,56657
미국,2015,58265
미국,2016,59035
미국,2017,61420
미국,2018,64062
미국,2019,65914
남아메리카,2000,
남아메리카,2001,
남아메리카,2002,
남아메리카,2003,
남아메리카,2004,
남아메리카,2005,
남아메리카,2006,
남아메리카,2007,
남아메리카,2008,
남아메리카,2009,
남아메리카,2010,
남아메리카,2011,
남아메리카,2012,
남아메리카,2013,
남아메리카,2014,
남아메리카,2015,
남아메리카,2016,
남아메리카,2017,
남아메리카,2018,
남아메리카,2019,
남아메리카,2020,
칠레,2000,4897
칠레,2001,4423
칠레,2002,4274
칠레,2003,4482
칠레,2004,5687
칠레,2005,6941
칠레,2006,8316
칠레,2007,9331
칠레,2008,9915
칠레,2009,9512
칠레,2010,11904
칠레,2011,13752
칠레,2012,14627
칠레,2013,15042
칠레,2014,14109
칠레,2015,13165
칠레,2016,13324
칠레,2017,14378
칠레,2018,15169
칠레,2019,14209
칠레,2020,12660
콜롬비아,2000,2466
콜롬비아,2001,2379
콜롬비아,2002,2332
콜롬비아,2003,2203
콜롬비아,2004,2686
콜롬비아,2005,3329
콜롬비아,2006,3643
콜롬비아,2007,4571
콜롬비아,2008,5283
콜롬비아,2009,5034
콜롬비아,2010,6105
콜롬비아,2011,7021
콜롬비아,2012,7744
콜롬비아,2013,7930
콜롬비아,2014,7873
콜롬비아,2015,6089
콜롬비아,2016,5807
콜롬비아,2017,6260
콜롬비아,2018,6557
