국가별,시점,부채비율
아시아,2000,
아시아,2001,
아시아,2002,
아시아,2003,
아시아,2004,
아시아,2005,
아시아,2006,
아시아,2007,
아시아,2008,
아시아,2009,
아시아,2010,
아시아,2011,
아시아,2012,
아시아,2013,
아시아,2014,
아시아,2015,
아시아,2016,
아시아,2017,
아시아,2018,
아시아,2019,
아시아,2020,
한국,2011,33.1
한국,2012,35
한국,2013,37.7
한국,2014,39.7
한국,2015,40.8
한국,2016,41.2
한국,2017,40.1
한국,2018,40
한국,2019,42.2
이스라엘,2001,90.941
이스라엘,2002,94.569
이스라엘,2003,99.681
이스라엘,2004,97.684
이스라엘,2005,95.195
이스라엘,2006,84.956
이스라엘,2007,79.752
이스라엘,2008,80.229
이스라엘,2009,83.54
이스라엘,2010,79.539
이스라엘,2011,77.743
이스라엘,2012,78.815
이스라엘,2013,76.501
이스라엘,2014,77.106
이스라엘,2015,76.615
이스라엘,2016,75.776
이스라엘,2017,72.773
이스라엘,2018,71.496
이스라엘,2019,73.767
일본,2000,140.804
일본,2001,146.843
일본,2002,157.095
일본,2003,166.315
일본,2004,172.611
일본,2005,173.223
일본,2006,173.229
일본,2007,175.053
일본,2008,179.168
일본,2009,200.403
일본,2010,205.063
일본,2011,219.259
일본,2012,227.53
일본,2013,230.38
일본,2014,235.843
일본,2015,234.073
일본,2016,231.872
일본,2017,230.941
일본,2018,234.789
일본,2019,233.669
터키,2010,48.901
터키,2011,43.603
터키,2012,40.941
터키,2013,34.284
터키,2014,33.234
터키,2015,32.6
터키,2016,34.354
터키,2017,34.861
터키,2018,32.362
터키,2019,34.816
북아메리카,2000,
북아메리카,2001,
북아메리카,2002,
북아메리카,2003,
북아메리카,2004,
북아메리카,2005,
북아메리카,2006,
북아메리카,2007,
북아메리카,2008,
북아메리카,2009,
북아메리카,2010,
북아메리카,2011,
북아메리카,2012,
북아메리카,2013,
북아메리카,2014,
북아메리카,2015,
북아메리카,2016,
북아메리카,2017,
북아메리카,2018,
북아메리카,2019,
북아메리카,2020,
캐나다,2000,105.071
캐나다,2001,104.776
캐나다,2002,103.575
캐나다,2003,99.241
캐나다,2004,95.322
캐나다,2005,93.873
캐나다,2006,91.149
캐나다,2007,86.954
캐나다,2008,89.725
캐나다,2009,102.711
캐나다,2010,105.016
캐나다,2011,107.66
캐나다,2012,111.306
캐나다,2013,107.323
캐나다,2014,108.351
캐나다,2015,114.634
캐나다,2016,114.149
캐나다,2017,108.556
캐나다,2018,107.383
캐나다,2019,106.681
캐나다,2020,141.582
멕시코,2003,36.503
멕시코,2004,31.461
멕시코,2005,30.92
멕시코,2006,30.743
멕시코,2007,32.436
멕시코,2008,34.318
멕시코,2009,30.564
멕시코,2010,31.147
멕시코,2011,37.141
멕시코,2012,41.13
멕시코,2013,47.108
멕시코,2014,50.401
멕시코,2015,54.744
멕시코,2016,52.848
멕시코,2017,53.223
멕시코,2018,55.787
멕시코,2019,59.295
미국,2000,72.129
미국,2001,74.79
미국,2002,80.403
미국,2003,81.878
미국,2004,88.866
미국,2005,88.587
미국,2006,85.943
미국,2007,86.379
미국,2008,102.409
미국,2009,115.678
미국,2010,125.812
미국,2011,130.969
미국,2012,132.704
미국,2013,136.253
미국,2014,135.607
미국,2015,136.451
미국,2016,138.131
미국,2017,134.69
미국,2018,136.198
미국,2019,134.999
미국,2020,160.281
남아메리카,2000,
남아메리카,2001,
남아메리카,2002,
남아메리카,2003,
남아메리카,2004,
남아메리카,2005,
남아메리카,2006,
남아메리카,2007,
남아메리카,2008,
남아메리카,2009,
남아메리카,2010,
남아메리카,2011,
남아메리카,2012,
남아메리카,2013,
남아메리카,2014,
남아메리카,2015,
남아메리카,2016,
남아메리카,2017,
남아메리카,2018,
남아메리카,2019,
남아메리카,2020,
칠레,2003,23.743
칠레,2004,20.687
칠레,2005,16.347
칠레,2006,13.33
칠레,2007,11.324
칠레,2008,12.444
칠레,2009,13.312
칠레,2010,15.309
칠레,2011,17.973
칠레,2012,18.455
칠레,2013,18.91
칠레,2014,22.434
칠레,2015,24.361
칠레,2016,28.1
칠레,2017,29.066
칠레,2018,31.812
칠레,2019,37.776
칠레,2020,43.821
콜롬비아,2015,68.537
콜롬비아,2016,73.091
콜롬비아,2017,75.189
콜롬비아,2018,88.967
콜롬비아,2019,82.772
유럽,2000,
유럽,2001,
유럽,2002,
유럽,2003,
유럽,2004,
유럽,2005,
유럽,2006,
유럽,2007,
유럽,2008,
유럽,2009,
유럽,2010,
유럽,2011,
유럽,2012,
유럽,2013,
유럽,2014,
유럽,2015,
유럽,2016,
유럽,2017,
유럽,2018,
유럽,2019,
유럽,2020,
오스트리아,2000,71.05
오스트리아,2001,72.122
오스트리아,2002,74.025
오스트리아,2003,72.532
오스트리아,2004,71.765
오스트리아,2005,76.252
오스트리아,2006,72.686
오스트리아,2007,68.965
오스트리아,2008,74.193
오스트리아,2009,86.33
오스트리아,2010,90.544
오스트리아,2011,91.474
