국가별,시점,평균근로자세금
아시아,2000,
아시아,2001,
아시아,2002,
아시아,2003,
아시아,2004,
아시아,2005,
아시아,2006,
아시아,2007,
아시아,2008,
아시아,2009,
아시아,2010,
아시아,2011,
아시아,2012,
아시아,2013,
아시아,2014,
아시아,2015,
아시아,2016,
아시아,2017,
아시아,2018,
아시아,2019,
아시아,2020,
한국,2000,16.4
한국,2001,16.5
한국,2002,16.1
한국,2003,16.4
한국,2004,17
한국,2005,17.3
한국,2006,18.2
한국,2007,19.7
한국,2008,20
한국,2009,19.5
한국,2010,20.1
한국,2011,20
한국,2012,20.5
한국,2013,21
한국,2014,21.2
한국,2015,21.4
한국,2016,21.8
한국,2017,22
한국,2018,22.4
한국,2019,22.9
한국,2020,23.3
이스라엘,2000,29.6
이스라엘,2001,30.7
이스라엘,2002,30.8
이스라엘,2003,27.7
이스라엘,2004,26.4
이스라엘,2005,25.5
이스라엘,2006,24.3
이스라엘,2007,24.9
이스라엘,2008,22.9
이스라엘,2009,21.3
이스라엘,2010,20.7
이스라엘,2011,20.8
이스라엘,2012,20.4
이스라엘,2013,20.4
이스라엘,2014,21.1
이스라엘,2015,21.8
이스라엘,2016,22.3
이스라엘,2017,22.1
이스라엘,2018,22.7
이스라엘,2019,22.9
이스라엘,2020,22.4
일본,2000,29.8
일본,2001,29.9
일본,2002,30.2
일본,2003,27.4
일본,2004,27.3
일본,2005,27.7
일본,2006,28.8
일본,2007,29.3
일본,2008,29.5
일본,2009,29.2
일본,2010,30.2
일본,2011,30.8
일본,2012,31.3
일본,2013,31.6
일본,2014,32
일본,2015,32.3
일본,2016,32.4
일본,2017,32.5
일본,2018,32.7
일본,2019,32.7
일본,2020,32.7
터키,2000,40.4
터키,2001,43.6
터키,2002,42.5
터키,2003,42.2
터키,2004,42.8
터키,2005,42.8
터키,2006,42.7
터키,2007,42.2
터키,2008,38.7
터키,2009,36.7
터키,2010,37
터키,2011,37
터키,2012,37.1
터키,2013,37.4
터키,2014,38.1
터키,2015,38.2
터키,2016,38.2
터키,2017,38.9
터키,2018,39.2
터키,2019,39.6
터키,2020,39.7
북아메리카,2000,
북아메리카,2001,
북아메리카,2002,
북아메리카,2003,
북아메리카,2004,
북아메리카,2005,
북아메리카,2006,
북아메리카,2007,
북아메리카,2008,
북아메리카,2009,
북아메리카,2010,
북아메리카,2011,
북아메리카,2012,
북아메리카,2013,
북아메리카,2014,
북아메리카,2015,
북아메리카,2016,
북아메리카,2017,
북아메리카,2018,
북아메리카,2019,
북아메리카,2020,
캐나다,2000,32.9
캐나다,2001,31.5
캐나다,2002,31.7
캐나다,2003,31.7
캐나다,2004,31.9
캐나다,2005,31.9
캐나다,2006,31.7
캐나다,2007,31.3
캐나다,2008,31.3
캐나다,2009,30.5
캐나다,2010,30.4
캐나다,2011,30.6
캐나다,2012,30.8
캐나다,2013,31
캐나다,2014,31.6
캐나다,2015,31.5
캐나다,2016,31.4
캐나다,2017,30.6
캐나다,2018,30.8
캐나다,2019,30.5
캐나다,2020,30.4
멕시코,2000,12.7
멕시코,2001,13.3
멕시코,2002,15.9
멕시코,2003,16.8
멕시코,2004,15.3
멕시코,2005,14.7
멕시코,2006,15.1
멕시코,2007,15.9
멕시코,2008,15.1
멕시코,2009,15.3
멕시코,2010,16
멕시코,2011,18.7
멕시코,2012,19
멕시코,2013,19.3
멕시코,2014,19.5
멕시코,2015,19.8
멕시코,2016,20.1
멕시코,2017,20.4
멕시코,2018,19.7
멕시코,2019,20.2
멕시코,2020,20.2
미국,2000,30.8
미국,2001,30.7
미국,2002,30.6
미국,2003,30.5
미국,2004,30.5
미국,2005,30.4
미국,2006,30.6
미국,2007,30.9
미국,2008,30.1
미국,2009,30.3
미국,2010,30.7
미국,2011,29.9
미국,2012,29.8
미국,2013,31.5
미국,2014,31.6
미국,2015,31.4
미국,2016,31.6
미국,2017,31.8
미국,2018,29.6
미국,2019,29.7
미국,2020,30.1
남아메리카,2000,
남아메리카,2001,
남아메리카,2002,
남아메리카,2003,
남아메리카,2004,
남아메리카,2005,
남아메리카,2006,
남아메리카,2007,
남아메리카,2008,
남아메리카,2009,
남아메리카,2010,
남아메리카,2011,
남아메리카,2012,
남아메리카,2013,
남아메리카,2014,
남아메리카,2015,
남아메리카,2016,
남아메리카,2017,
남아메리카,2018,
남아메리카,2019,
남아메리카,2020,
칠레,2000,7
칠레,2001,7
칠레,2002,7
칠레,2003,7
칠레,2004,7
칠레,2005,7
칠레,2006,7
칠레,2007,7
칠레,2008,7
칠레,2009,7
칠레,2010,7
칠레,2011,7
칠레,2012,7
칠레,2013,7
칠레,2014,7
칠레,2015,7
칠레,2016,7
칠레,2017,7
칠레,2018,7
칠레,2019,7
칠레,2020,7
유럽,2000,
유럽,2001,
유럽,2002,
유럽,2003,
유럽,2004,
유럽,2005,
유럽,2006,
유럽,2007,
유럽,2008,
유럽,2009,
유럽,2010,
유럽,2011,
유럽,2012,
유럽,2013,
